"",BBK01.OECM01N,BBK01.OECM01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:24,
2002-01,0.599,
2002-04,0.561,
2002-07,0.501,
2002-10,0.459,
2003-01,0.306,
2003-04,0.356,
2003-07,0.422,
2003-10,0.815,
2004-01,0.533,
2004-04,0.490,
2004-07,0.753,
2004-10,0.465,
2005-01,0.625,
2005-04,0.646,
2005-07,0.456,
2005-10,0.745,
2006-01,1.635,
2006-04,3.776,
2006-07,3.364,
2006-10,1.423,
2007-01,2.494,
2007-04,2.896,
2007-07,2.939,
2007-10,3.591,
2008-01,3.023,
2008-04,4.465,
2008-07,4.012,
2008-10,4.558,
2009-01,4.450,
2009-04,5.266,
2009-07,4.242,
2009-10,3.357,
2010-01,2.798,
2010-04,3.302,
2010-07,3.029,
2010-10,3.516,
2011-01,3.578,
2011-04,4.320,
2011-07,4.248,
2011-10,2.660,
2012-01,5.654,
2012-04,5.396,
2012-07,4.773,
2012-10,3.689,
2013-01,4.157,
2013-04,5.215,
2013-07,4.292,
2013-10,2.457,
2014-01,2.582,
2014-04,3.392,
2014-07,2.610,
