"",BBK01.OEAH44H,BBK01.OEAH44H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:59,
2002-01,11.225,
2002-04,11.339,
2002-07,11.761,
2002-10,12.332,
2003-01,12.389,
2003-04,12.581,
2003-07,12.832,
2003-10,12.457,
2004-01,13.087,
2004-04,12.825,
2004-07,12.914,
2004-10,13.132,
2005-01,13.496,
2005-04,14.428,
2005-07,14.173,
2005-10,14.723,
2006-01,14.340,
2006-04,14.411,
2006-07,14.343,
2006-10,15.235,
2007-01,14.938,
2007-04,15.292,
2007-07,15.388,
2007-10,15.607,
2008-01,15.537,
2008-04,15.034,
2008-07,15.061,
2008-10,16.119,
2009-01,18.197,
2009-04,19.067,
2009-07,19.961,
2009-10,20.986,
2010-01,21.253,
2010-04,21.689,
2010-07,22.070,
2010-10,22.767,
2011-01,22.819,
2011-04,22.950,
2011-07,23.298,
2011-10,24.371,
2012-01,24.741,
2012-04,25.193,
2012-07,26.240,
2012-10,27.428,
2013-01,27.684,
2013-04,28.132,
2013-07,29.245,
2013-10,30.507,
2014-01,31.421,
2014-04,31.306,
2014-07,31.847,
