"",BBK01.OEAE09P,BBK01.OEAE09P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:06,
2002-01,0.660,
2002-04,0.673,
2002-07,0.673,
2002-10,0.639,
2003-01,0.605,
2003-04,0.605,
2003-07,0.602,
2003-10,0.624,
2004-01,0.576,
2004-04,0.587,
2004-07,0.587,
2004-10,0.583,
2005-01,0.578,
2005-04,0.569,
2005-07,0.527,
2005-10,0.534,
2006-01,0.508,
2006-04,0.500,
2006-07,0.516,
2006-10,0.391,
2007-01,0.367,
2007-04,0.370,
2007-07,0.371,
2007-10,0.376,
2008-01,0.367,
2008-04,0.433,
2008-07,0.443,
2008-10,0.400,
2009-01,0.468,
2009-04,0.429,
2009-07,0.423,
2009-10,0.436,
2010-01,0.421,
2010-04,0.432,
2010-07,0.426,
2010-10,0.416,
2011-01,0.406,
2011-04,0.401,
2011-07,0.378,
2011-10,0.380,
2012-01,0.386,
2012-04,0.399,
2012-07,0.397,
2012-10,0.386,
2013-01,0.383,
2013-04,0.379,
2013-07,0.383,
2013-10,0.386,
2014-01,0.380,
2014-04,0.580,
2014-07,0.593,
