"",BBK01.OEAA50L,BBK01.OEAA50L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:35,
2002-01,78.438,
2002-04,73.745,
2002-07,75.585,
2002-10,66.544,
2003-01,84.350,
2003-04,86.956,
2003-07,86.525,
2003-10,88.061,
2004-01,110.960,
2004-04,102.212,
2004-07,117.239,
2004-10,109.693,
2005-01,107.704,
2005-04,108.374,
2005-07,107.199,
2005-10,98.111,
2006-01,99.205,
2006-04,100.392,
2006-07,108.377,
2006-10,100.861,
2007-01,114.492,
2007-04,123.589,
2007-07,113.833,
2007-10,98.810,
2008-01,130.480,
2008-04,105.793,
2008-07,111.920,
2008-10,64.843,
2009-01,62.162,
2009-04,72.781,
2009-07,60.276,
2009-10,51.764,
2010-01,51.514,
2010-04,58.193,
2010-07,48.019,
2010-10,46.649,
2011-01,47.334,
2011-04,56.261,
2011-07,58.835,
2011-10,39.761,
2012-01,54.222,
2012-04,51.788,
2012-07,53.953,
2012-10,49.537,
2013-01,56.269,
2013-04,56.759,
2013-07,46.164,
2013-10,46.855,
2014-01,48.982,
2014-04,54.306,
2014-07,53.137,
