"",BBK01.OEAM04O,BBK01.OEAM04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:31,
2002-01,1.085,
2002-04,1.322,
2002-07,1.114,
2002-10,1.258,
2003-01,1.193,
2003-04,1.426,
2003-07,1.704,
2003-10,1.684,
2004-01,1.097,
2004-04,1.188,
2004-07,1.139,
2004-10,1.090,
2005-01,0.938,
2005-04,0.885,
2005-07,0.701,
2005-10,0.555,
2006-01,0.631,
2006-04,0.968,
2006-07,1.744,
2006-10,2.033,
2007-01,1.703,
2007-04,1.576,
2007-07,1.435,
2007-10,1.384,
2008-01,1.499,
2008-04,1.487,
2008-07,1.342,
2008-10,1.251,
2009-01,0.924,
2009-04,0.960,
2009-07,0.851,
2009-10,0.665,
2010-01,0.485,
2010-04,0.492,
2010-07,0.534,
2010-10,0.807,
2011-01,0.528,
2011-04,0.633,
2011-07,0.673,
2011-10,1.224,
2012-01,0.722,
2012-04,0.690,
2012-07,0.968,
2012-10,1.401,
2013-01,0.916,
2013-04,0.701,
2013-07,0.669,
2013-10,1.144,
2014-01,0.766,
2014-04,0.676,
2014-07,0.818,
