"",BBFN1.M.DE.N.1.A.B0.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.B0.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:50,
1971-12,0.472,
1972-01,.,No value available
1972-02,.,No value available
1972-03,.,No value available
1972-04,.,No value available
1972-05,.,No value available
1972-06,.,No value available
1972-07,.,No value available
1972-08,.,No value available
1972-09,.,No value available
1972-10,.,No value available
1972-11,.,No value available
1972-12,0.512,
1973-01,.,No value available
1973-02,.,No value available
1973-03,.,No value available
1973-04,.,No value available
1973-05,.,No value available
1973-06,.,No value available
1973-07,.,No value available
1973-08,.,No value available
1973-09,.,No value available
1973-10,.,No value available
1973-11,.,No value available
1973-12,0.322,
1974-01,.,No value available
1974-02,.,No value available
1974-03,.,No value available
1974-04,.,No value available
1974-05,.,No value available
1974-06,.,No value available
1974-07,.,No value available
1974-08,.,No value available
1974-09,.,No value available
1974-10,.,No value available
1974-11,.,No value available
1974-12,0.471,
1975-01,.,No value available
1975-02,.,No value available
1975-03,.,No value available
1975-04,.,No value available
1975-05,.,No value available
1975-06,.,No value available
1975-07,.,No value available
1975-08,.,No value available
1975-09,.,No value available
1975-10,.,No value available
1975-11,.,No value available
1975-12,0.633,
1976-01,.,No value available
1976-02,.,No value available
1976-03,.,No value available
1976-04,.,No value available
1976-05,.,No value available
1976-06,.,No value available
1976-07,.,No value available
1976-08,.,No value available
1976-09,.,No value available
1976-10,.,No value available
1976-11,.,No value available
1976-12,0.777,
1977-01,.,No value available
1977-02,.,No value available
1977-03,.,No value available
1977-04,.,No value available
1977-05,.,No value available
1977-06,.,No value available
1977-07,.,No value available
1977-08,.,No value available
1977-09,.,No value available
1977-10,.,No value available
1977-11,.,No value available
1977-12,0.910,
1978-01,.,No value available
1978-02,.,No value available
1978-03,.,No value available
1978-04,.,No value available
1978-05,.,No value available
1978-06,.,No value available
1978-07,.,No value available
1978-08,.,No value available
1978-09,.,No value available
1978-10,.,No value available
1978-11,.,No value available
1978-12,1.056,
1979-01,.,No value available
1979-02,.,No value available
1979-03,.,No value available
1979-04,.,No value available
1979-05,.,No value available
1979-06,.,No value available
1979-07,.,No value available
1979-08,.,No value available
1979-09,.,No value available
1979-10,.,No value available
1979-11,.,No value available
1979-12,1.325,
1980-01,.,No value available
1980-02,.,No value available
1980-03,.,No value available
1980-04,.,No value available
1980-05,.,No value available
1980-06,.,No value available
1980-07,.,No value available
1980-08,.,No value available
1980-09,.,No value available
1980-10,.,No value available
1980-11,.,No value available
1980-12,1.539,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,1.777,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,1.826,
1982-10,1.894,
1982-11,1.926,
1982-12,1.952,
1983-01,1.883,
1983-02,1.911,
1983-03,2.034,
1983-04,2.016,
1983-05,2.040,
1983-06,2.083,
1983-07,2.051,
1983-08,2.066,
1983-09,2.048,
1983-10,2.012,
1983-11,2.046,
1983-12,2.070,
1984-01,2.082,
1984-02,2.070,
1984-03,2.055,
1984-04,2.063,
1984-05,2.052,
1984-06,2.041,
1984-07,2.036,
1984-08,2.047,
1984-09,2.026,
1984-10,2.035,
1984-11,2.017,
1984-12,2.054,
1985-01,2.088,
1985-02,2.117,
1985-03,2.367,
1985-04,2.359,
1985-05,2.056,
1985-06,2.070,
1985-07,2.029,
1985-08,2.050,
1985-09,2.078,
1985-10,2.069,
1985-11,2.084,
1985-12,2.112,
1986-01,2.292,
1986-02,2.225,
1986-03,2.195,
1986-04,2.187,
1986-05,2.172,
1986-06,2.204,
1986-07,2.402,
1986-08,2.433,
1986-09,2.548,
1986-10,2.647,
1986-11,2.685,
1986-12,2.515,
1987-01,2.531,
1987-02,2.593,
1987-03,2.795,
1987-04,2.817,
1987-05,2.833,
1987-06,2.805,
1987-07,2.789,
1987-08,2.905,
1987-09,2.878,
1987-10,3.080,
1987-11,3.133,
1987-12,3.209,
1988-01,3.188,
1988-02,3.195,
1988-03,3.265,
1988-04,3.257,
1988-05,3.162,
1988-06,3.127,
1988-07,3.144,
1988-08,3.259,
1988-09,3.241,
1988-10,3.233,
1988-11,3.209,
1988-12,3.169,
1989-01,3.261,
1989-02,3.274,
1989-03,4.681,
1989-04,4.654,
1989-05,4.899,
1989-06,4.898,
1989-07,4.997,
1989-08,5.128,
1989-09,5.375,
1989-10,5.334,
1989-11,5.496,
1989-12,5.424,
1990-01,5.596,
1990-02,6.192,
1990-03,6.289,
1990-04,6.491,
1990-05,6.732,
1990-06,6.720,
1990-07,6.651,
1990-08,6.205,
1990-09,6.286,
1990-10,6.435,
1990-11,6.422,
1990-12,6.332,
1991-01,6.392,
1991-02,6.442,
1991-03,6.407,
1991-04,6.315,
1991-05,6.238,
1991-06,6.383,
1991-07,6.674,
1991-08,6.825,
1991-09,6.842,
1991-10,6.708,
1991-11,6.654,
1991-12,6.616,
1992-01,6.655,
1992-02,5.978,
1992-03,5.767,
1992-04,5.793,
1992-05,5.743,
1992-06,5.587,
1992-07,5.626,
1992-08,5.658,
1992-09,5.630,
1992-10,5.717,
1992-11,5.871,
1992-12,5.736,
1993-01,5.609,
1993-02,5.654,
1993-03,5.645,
1993-04,5.658,
1993-05,5.627,
1993-06,5.734,
1993-07,5.607,
1993-08,5.913,
1993-09,5.929,
1993-10,5.974,
1993-11,6.066,
1993-12,5.859,
1994-01,5.917,
1994-02,5.949,
1994-03,5.805,
1994-04,5.775,
1994-05,5.458,
1994-06,5.420,
1994-07,5.383,
1994-08,5.478,
1994-09,4.970,
1994-10,5.017,
1994-11,4.903,
1994-12,4.814,
1995-01,5.615,
1995-02,5.721,
1995-03,5.891,
1995-04,5.881,
1995-05,5.891,
1995-06,6.034,
1995-07,5.993,
1995-08,6.419,
1995-09,7.281,
1995-10,7.614,
1995-11,7.599,
1995-12,6.992,
1996-01,7.026,
1996-02,7.206,
1996-03,7.058,
1996-04,7.090,
1996-05,7.214,
1996-06,7.048,
1996-07,7.101,
1996-08,7.068,
1996-09,7.021,
1996-10,6.793,
1996-11,8.271,
1996-12,8.103,
1997-01,8.123,
1997-02,8.153,
1997-03,8.543,
1997-04,8.548,
1997-05,8.656,
1997-06,8.616,
1997-07,8.545,
1997-08,8.332,
1997-09,8.355,
1997-10,8.264,
1997-11,8.425,
1997-12,8.487,
1998-01,8.945,
1998-02,8.951,
1998-03,9.290,
1998-04,9.387,
1998-05,8.725,
1998-06,8.748,
1998-07,8.904,
1998-08,9.234,
1998-09,9.204,
1998-10,9.452,
1998-11,9.341,
1998-12,9.963,
1999-01,10.657,
1999-02,10.879,
1999-03,10.874,
1999-04,11.179,
1999-05,11.308,
1999-06,12.892,
1999-07,13.216,
1999-08,13.702,
1999-09,13.203,
1999-10,15.023,
1999-11,14.820,
1999-12,13.879,
2000-01,14.280,
2000-02,14.412,
2000-03,13.941,
2000-04,14.064,
2000-05,14.748,
2000-06,14.494,
2000-07,14.778,
2000-08,15.383,
2000-09,15.735,
2000-10,16.076,
2000-11,16.555,
2000-12,15.844,
2001-01,16.212,
2001-02,16.183,
2001-03,16.725,
2001-04,16.713,
2001-05,17.375,
2001-06,18.183,
2001-07,18.277,
2001-08,18.899,
2001-09,18.527,
2001-10,19.523,
2001-11,19.700,
2001-12,20.825,
2002-01,21.650,
2002-02,21.861,
2002-03,22.110,
2002-04,22.429,
2002-05,22.435,
2002-06,22.474,
2002-07,24.425,
2002-08,24.459,
2002-09,24.316,
2002-10,24.407,
2002-11,25.356,
2002-12,25.860,
2003-01,28.174,
2003-02,28.156,
2003-03,28.477,
2003-04,29.076,
2003-05,29.305,
2003-06,29.545,
2003-07,31.744,
2003-08,31.023,
2003-09,31.205,
2003-10,32.278,
2003-11,32.145,
2003-12,31.609,
2004-01,32.551,
2004-02,31.543,
2004-03,32.093,
2004-04,32.573,
2004-05,34.982,
2004-06,35.409,
2004-07,36.925,
2004-08,37.110,
2004-09,38.448,
2004-10,38.797,
2004-11,39.517,
2004-12,38.857,
2005-01,40.935,
2005-02,40.781,
2005-03,41.667,
2005-04,42.254,
2005-05,39.503,
2005-06,41.400,
2005-07,41.481,
2005-08,41.691,
2005-09,42.339,
2005-10,42.005,
2005-11,42.179,
2005-12,44.406,
2006-01,45.759,
2006-02,48.111,
2006-03,49.448,
2006-04,50.908,
2006-05,52.180,
2006-06,54.495,
2006-07,53.888,
2006-08,56.920,
2006-09,58.472,
2006-10,61.405,
2006-11,63.620,
2006-12,66.770,
2007-01,69.950,
2007-02,70.735,
2007-03,76.024,
2007-04,80.491,
2007-05,87.086,
2007-06,90.241,
2007-07,91.607,
2007-08,98.587,
2007-09,103.416,
2007-10,110.101,
2007-11,116.662,
2007-12,114.853,
2008-01,120.677,
2008-02,125.185,
2008-03,125.996,
2008-04,129.081,
2008-05,131.825,
2008-06,128.304,
2008-07,131.371,
2008-08,132.756,
2008-09,135.838,
2008-10,141.381,
2008-11,143.128,
2008-12,131.899,
2009-01,131.943,
2009-02,133.244,
2009-03,134.572,
2009-04,137.619,
2009-05,139.181,
2009-06,131.740,
2009-07,137.628,
2009-08,145.882,
2009-09,147.896,
2009-10,156.275,
2009-11,162.344,
2009-12,160.684,
2010-01,165.580,
2010-02,171.821,
2010-03,171.888,
2010-04,179.862,
2010-05,182.428,
2010-06,182.405,
2010-07,185.366,
2010-08,192.353,
2010-09,193.348,
2010-10,197.782,
2010-11,203.002,
2010-12,201.503,
2011-01,208.211,
2011-02,202.378,
2011-03,201.104,
2011-04,202.784,
2011-05,208.756,
2011-06,199.707,
2011-07,202.291,
2011-08,202.105,
2011-09,197.812,
2011-10,185.032,
2011-11,182.824,
2011-12,177.919,
2012-01,179.463,
2012-02,181.448,
2012-03,181.096,
2012-04,182.712,
2012-05,183.803,
2012-06,180.305,
2012-07,183.640,
2012-08,185.562,
2012-09,187.025,
2012-10,186.960,
2012-11,191.290,
2012-12,195.300,
2013-01,196.237,
2013-02,197.735,
2013-03,200.204,
2013-04,202.065,
2013-05,206.523,
2013-06,206.175,
2013-07,206.624,
2013-08,209.261,
2013-09,213.699,
2013-10,213.055,
2013-11,217.987,
2013-12,219.895,
2014-01,218.101,
2014-02,219.466,
2014-03,222.344,
2014-04,223.859,
2014-05,227.534,
2014-06,228.206,
2014-07,229.383,
2014-08,231.378,
2014-09,231.902,
2014-10,230.977,
2014-11,231.479,
2014-12,232.964,
"","General: From 1973, including Denmark, Ireland and the United Kingdom; from 1981, including Greece; from 1986, including Portugal and Spain; from 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
