"",BBK01.OEHL01S,BBK01.OEHL01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:31,
2002-01,12.651,
2002-04,12.602,
2002-07,12.604,
2002-10,12.963,
2003-01,12.954,
2003-04,12.869,
2003-07,12.858,
2003-10,13.156,
2004-01,13.229,
2004-04,13.110,
2004-07,13.051,
2004-10,13.332,
2005-01,13.267,
2005-04,13.177,
2005-07,13.118,
2005-10,13.327,
2006-01,13.300,
2006-04,13.179,
2006-07,13.144,
2006-10,13.259,
2007-01,13.240,
2007-04,13.201,
2007-07,13.223,
2007-10,13.433,
2008-01,13.324,
2008-04,13.277,
2008-07,13.140,
2008-10,13.512,
2009-01,13.779,
2009-04,14.056,
2009-07,13.963,
2009-10,14.386,
2010-01,14.712,
2010-04,14.844,
2010-07,14.790,
2010-10,15.100,
2011-01,15.087,
2011-04,15.124,
2011-07,15.149,
2011-10,15.393,
2012-01,15.367,
2012-04,15.417,
2012-07,15.544,
2012-10,15.768,
2013-01,15.899,
2013-04,16.010,
2013-07,16.074,
2013-10,16.339,
2014-01,16.471,
2014-04,16.585,
2014-07,16.701,
