"",BBK01.OEHI02L,BBK01.OEHI02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:33,
2002-01,17.096,
2002-04,17.466,
2002-07,17.734,
2002-10,19.092,
2003-01,19.580,
2003-04,19.971,
2003-07,20.094,
2003-10,20.854,
2004-01,20.841,
2004-04,21.023,
2004-07,21.046,
2004-10,21.570,
2005-01,20.960,
2005-04,21.384,
2005-07,21.366,
2005-10,22.101,
2006-01,22.395,
2006-04,22.534,
2006-07,22.613,
2006-10,23.190,
2007-01,22.519,
2007-04,23.384,
2007-07,23.905,
2007-10,24.362,
2008-01,23.722,
2008-04,23.533,
2008-07,23.452,
2008-10,24.882,
2009-01,26.604,
2009-04,29.232,
2009-07,30.218,
2009-10,32.482,
2010-01,33.048,
2010-04,33.747,
2010-07,33.835,
2010-10,34.546,
2011-01,34.250,
2011-04,33.789,
2011-07,33.763,
2011-10,35.057,
2012-01,34.756,
2012-04,36.100,
2012-07,37.025,
2012-10,38.889,
2013-01,39.054,
2013-04,40.092,
2013-07,40.838,
2013-10,42.024,
2014-01,41.782,
2014-04,42.956,
2014-07,44.058,
