"",BBFB1.M.Y.DE.W1.S1.S1.T.C.FT___CIF._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.FT___CIF._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Foreign trade additions incl. CIF / Credit (Resources) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:40,
1991-01,-1.54,
1991-02,-1.53,
1991-03,-1.48,
1991-04,-1.52,
1991-05,-1.71,
1991-06,-1.51,
1991-07,-1.54,
1991-08,-1.46,
1991-09,-1.36,
1991-10,-1.32,
1991-11,-1.60,
1991-12,-1.22,
1992-01,-1.42,
1992-02,-1.60,
1992-03,-1.61,
1992-04,-1.59,
1992-05,-1.20,
1992-06,-1.39,
1992-07,-1.59,
1992-08,-1.39,
1992-09,-1.38,
1992-10,-1.36,
1992-11,-1.46,
1992-12,-1.80,
1993-01,-1.48,
1993-02,-1.45,
1993-03,-1.36,
1993-04,-1.64,
1993-05,-1.60,
1993-06,-1.72,
1993-07,-1.57,
1993-08,-1.68,
1993-09,-1.80,
1993-10,-1.88,
1993-11,-1.77,
1993-12,-1.92,
1994-01,-1.93,
1994-02,-1.76,
1994-03,-1.67,
1994-04,-1.78,
1994-05,-1.76,
1994-06,-1.65,
1994-07,-1.98,
1994-08,-1.84,
1994-09,-2.01,
1994-10,-2.07,
1994-11,-1.82,
1994-12,-1.95,
1995-01,-1.84,
1995-02,-1.92,
1995-03,-1.93,
1995-04,-2.00,
1995-05,-1.75,
1995-06,-1.94,
1995-07,-1.88,
1995-08,-1.94,
1995-09,-1.99,
1995-10,-2.12,
1995-11,-1.97,
1995-12,-1.98,
1996-01,-1.99,
1996-02,-2.06,
1996-03,-2.07,
1996-04,-2.05,
1996-05,-1.97,
1996-06,-1.98,
1996-07,-2.21,
1996-08,-2.13,
1996-09,-2.19,
1996-10,-2.18,
1996-11,-2.30,
1996-12,-2.37,
1997-01,-2.31,
1997-02,-2.10,
1997-03,-2.48,
1997-04,-2.17,
1997-05,-2.42,
1997-06,-2.37,
1997-07,-2.42,
1997-08,-2.40,
1997-09,-2.38,
1997-10,-2.32,
1997-11,-2.59,
1997-12,-2.60,
1998-01,-2.36,
1998-02,-2.37,
1998-03,-2.75,
1998-04,-2.63,
1998-05,-2.67,
1998-06,-3.01,
1998-07,-2.83,
1998-08,-2.74,
1998-09,-2.81,
1998-10,-2.62,
1998-11,-2.65,
1998-12,-3.02,
1999-01,-2.66,
1999-02,-2.16,
1999-03,-2.81,
1999-04,-2.60,
1999-05,-2.61,
1999-06,-2.79,
1999-07,-2.78,
1999-08,-2.46,
1999-09,-2.81,
1999-10,-2.78,
1999-11,-3.13,
1999-12,-2.98,
2000-01,-2.91,
2000-02,-3.05,
2000-03,-3.36,
2000-04,-3.34,
2000-05,-2.93,
2000-06,-3.52,
2000-07,-3.21,
2000-08,-3.34,
2000-09,-3.20,
2000-10,-3.83,
2000-11,-3.31,
2000-12,-3.27,
2001-01,-3.37,
2001-02,-3.48,
2001-03,-3.19,
2001-04,-3.36,
2001-05,-3.27,
2001-06,-3.74,
2001-07,-3.74,
2001-08,-4.07,
2001-09,-3.55,
2001-10,-3.61,
2001-11,-3.70,
2001-12,-3.54,
2002-01,-3.74,
2002-02,-4.27,
2002-03,-3.71,
2002-04,-3.65,
2002-05,-2.38,
2002-06,-3.94,
2002-07,-3.17,
2002-08,-4.44,
2002-09,-3.61,
2002-10,-3.89,
2002-11,-3.35,
2002-12,-3.62,
2003-01,-4.32,
2003-02,-3.85,
2003-03,-4.16,
2003-04,-4.09,
2003-05,-4.18,
2003-06,-3.79,
2003-07,-3.90,
2003-08,-3.84,
2003-09,-4.32,
2003-10,-3.63,
2003-11,-3.90,
2003-12,-3.81,
2004-01,-4.18,
2004-02,-4.04,
2004-03,-3.64,
2004-04,-4.66,
2004-05,-4.21,
2004-06,-3.61,
2004-07,-4.21,
2004-08,-4.25,
2004-09,-4.37,
2004-10,-4.06,
2004-11,-4.25,
2004-12,-4.14,
2005-01,-4.51,
2005-02,-3.81,
2005-03,-4.50,
2005-04,-4.42,
2005-05,-4.15,
2005-06,-4.30,
2005-07,-3.93,
2005-08,-4.75,
2005-09,-4.74,
2005-10,-4.64,
2005-11,-3.98,
2005-12,-4.12,
2006-01,-4.11,
2006-02,-4.60,
2006-03,-5.04,
2006-04,-4.85,
2006-05,-4.51,
2006-06,-4.53,
2006-07,-5.18,
2006-08,-4.80,
2006-09,-5.20,
2006-10,-5.16,
2006-11,-5.71,
2006-12,-5.63,
2007-01,-3.88,
2007-02,-4.07,
2007-03,-3.96,
2007-04,-4.01,
2007-05,-3.89,
2007-06,-3.86,
2007-07,-3.99,
2007-08,-3.98,
2007-09,-3.63,
