"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F6._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F6._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Insurance and pension services / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:16,
1991-01,120.208,
1991-02,120.208,
1991-03,120.208,
1991-04,125.634,
1991-05,125.634,
1991-06,125.634,
1991-07,127.663,
1991-08,127.663,
1991-09,127.663,
1991-10,126.294,
1991-11,126.294,
1991-12,126.293,
1992-01,120.474,
1992-02,120.474,
1992-03,120.474,
1992-04,119.635,
1992-05,119.634,
1992-06,119.635,
1992-07,122.723,
1992-08,122.723,
1992-09,122.722,
1992-10,129.738,
1992-11,129.738,
1992-12,129.739,
1993-01,141.495,
1993-02,141.494,
1993-03,141.495,
1993-04,151.219,
1993-05,151.219,
1993-06,151.218,
1993-07,159.725,
1993-08,159.723,
1993-09,159.723,
1993-10,167.008,
1993-11,167.009,
1993-12,167.009,
1994-01,174.405,
1994-02,174.405,
1994-03,174.406,
1994-04,176.175,
1994-05,176.175,
1994-06,176.175,
1994-07,173.648,
1994-08,173.649,
1994-09,173.650,
1994-10,166.829,
1994-11,166.827,
1994-12,166.827,
1995-01,160.470,
1995-02,160.469,
1995-03,160.469,
1995-04,169.918,
1995-05,169.918,
1995-06,169.918,
1995-07,199.931,
1995-08,199.931,
1995-09,199.930,
1995-10,250.510,
1995-11,250.510,
1995-12,250.510,
1996-01,319.104,
1996-02,319.104,
1996-03,319.103,
1996-04,376.601,
1996-05,376.600,
1996-06,376.601,
1996-07,420.453,
1996-08,420.452,
1996-09,420.451,
1996-10,450.658,
1996-11,450.657,
1996-12,450.656,
1997-01,455.262,
1997-02,455.262,
1997-03,455.261,
1997-04,440.751,
1997-05,440.750,
1997-06,440.750,
1997-07,395.166,
1997-08,395.164,
1997-09,395.166,
1997-10,318.507,
1997-11,318.507,
1997-12,318.506,
1998-01,227.010,
1998-02,227.011,
1998-03,227.011,
1998-04,208.498,
1998-05,208.498,
1998-06,208.498,
1998-07,279.199,
1998-08,279.198,
1998-09,279.198,
1998-10,439.113,
1998-11,439.114,
1998-12,439.113,
1999-01,723.096,
1999-02,723.095,
1999-03,723.095,
1999-04,869.512,
1999-05,869.509,
1999-06,869.509,
1999-07,913.201,
1999-08,913.203,
1999-09,913.203,
1999-10,854.172,
1999-11,854.174,
1999-12,854.174,
2000-01,643.404,
2000-02,643.404,
2000-03,643.406,
2000-04,603.068,
2000-05,603.066,
2000-06,603.066,
2000-07,684.146,
2000-08,684.143,
