"",BBFN1.M.DE.N.1.L.W1.S1P.H1.T.NV00.Z06.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.H1.T.NV00.Z06.BGA.X001.D_FLAGS
1999-12,9.905,
2000-01,9.536,
2000-02,9.682,
2000-03,10.499,
2000-04,10.322,
2000-05,10.774,
2000-06,11.164,
2000-07,11.441,
2000-08,11.551,
2000-09,12.120,
2000-10,12.895,
2000-11,13.737,
2000-12,12.347,
2001-01,10.660,
2001-02,10.555,
2001-03,11.200,
2001-04,10.949,
2001-05,11.412,
2001-06,11.790,
2001-07,10.889,
2001-08,10.940,
2001-09,11.810,
2001-10,11.941,
2001-11,12.181,
2001-12,14.098,
2002-01,11.506,
2002-02,10.839,
2002-03,11.876,
2002-04,11.645,
2002-05,11.100,
2002-06,11.232,
2002-07,11.277,
2002-08,11.016,
2002-09,11.460,
2002-10,11.668,
2002-11,12.086,
2002-12,13.644,
2003-01,11.727,
2003-02,11.226,
2003-03,12.019,
2003-04,11.224,
2003-05,9.600,
2003-06,9.848,
2003-07,10.282,
2003-08,10.130,
2003-09,9.667,
2003-10,9.892,
2003-11,9.351,
2003-12,10.669,
2004-01,9.262,
2004-02,8.959,
2004-03,10.106,
2004-04,9.318,
2004-05,9.494,
2004-06,9.411,
2004-07,9.486,
2004-08,9.531,
2004-09,10.196,
2004-10,9.756,
2004-11,10.087,
2004-12,10.477,
2005-01,9.238,
2005-02,8.988,
2005-03,9.615,
2005-04,9.250,
2005-05,9.549,
2005-06,10.608,
2005-07,11.490,
2005-08,12.799,
2005-09,13.074,
2005-10,12.572,
2005-11,12.974,
2005-12,14.399,
2006-01,13.867,
2006-02,13.130,
2006-03,13.060,
2006-04,12.904,
2006-05,12.596,
2006-06,13.709,
2006-07,13.466,
2006-08,12.974,
2006-09,13.320,
2006-10,14.027,
2006-11,14.182,
2006-12,15.187,
2007-01,13.329,
2007-02,13.174,
2007-03,14.484,
2007-04,14.104,
2007-05,13.426,
2007-06,13.655,
2007-07,12.787,
2007-08,12.873,
2007-09,14.696,
2007-10,14.308,
2007-11,14.149,
2007-12,14.658,
2008-01,12.952,
2008-02,13.277,
2008-03,13.623,
2008-04,13.271,
2008-05,14.095,
2008-06,13.207,
2008-07,13.070,
2008-08,12.716,
2008-09,13.098,
2008-10,13.318,
2008-11,12.778,
2008-12,13.003,
2009-01,11.387,
2009-02,10.935,
2009-03,11.177,
2009-04,10.594,
2009-05,10.847,
2009-06,12.064,
2009-07,11.994,
2009-08,11.603,
2009-09,12.237,
2009-10,11.949,
2009-11,13.094,
2009-12,13.602,
2010-01,12.432,
2010-02,12.581,
2010-03,13.559,
2010-04,13.284,
2010-05,13.468,
2010-06,14.290,
2010-07,14.373,
2010-08,13.959,
2010-09,15.156,
2010-10,14.549,
2010-11,15.153,
2010-12,16.972,
2011-01,15.335,
2011-02,14.701,
2011-03,14.489,
2011-04,14.745,
2011-05,14.384,
2011-06,14.756,
2011-07,15.624,
2011-08,14.468,
2011-09,15.993,
2011-10,16.522,
2011-11,15.691,
2011-12,16.940,
2012-01,14.614,
2012-02,14.842,
2012-03,14.989,
2012-04,14.392,
2012-05,15.469,
2012-06,15.481,
2012-07,15.370,
2012-08,13.740,
2012-09,14.222,
2012-10,15.006,
2012-11,16.444,
2012-12,14.155,
2013-01,13.149,
2013-02,13.165,
2013-03,13.356,
2013-04,12.738,
2013-05,12.734,
2013-06,12.853,
2013-07,12.319,
2013-08,12.393,
2013-09,13.408,
2013-10,13.932,
2013-11,13.010,
2013-12,14.381,
2014-01,13.807,
2014-02,13.785,
2014-03,13.924,
2014-04,13.752,
2014-05,14.300,
2014-06,15.014,
2014-07,14.758,
2014-08,14.354,
2014-09,15.466,
2014-10,15.931,
2014-11,15.209,
2014-12,17.251,
"","General: From January 1999, excluding national currencies of the euro-area member states.",
