"",BBK01.OEAA18H,BBK01.OEAA18H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:49,
2002-01,41.745,
2002-04,41.368,
2002-07,42.661,
2002-10,39.576,
2003-01,37.525,
2003-04,35.389,
2003-07,34.614,
2003-10,32.316,
2004-01,35.311,
2004-04,33.640,
2004-07,33.083,
2004-10,31.842,
2005-01,30.169,
2005-04,31.891,
2005-07,33.024,
2005-10,26.234,
2006-01,37.875,
2006-04,32.278,
2006-07,39.129,
2006-10,30.363,
2007-01,36.917,
2007-04,32.491,
2007-07,40.140,
2007-10,33.740,
2008-01,45.540,
2008-04,53.225,
2008-07,53.002,
2008-10,31.758,
2009-01,40.225,
2009-04,39.529,
2009-07,37.960,
2009-10,27.922,
2010-01,30.870,
2010-04,29.454,
2010-07,31.738,
2010-10,27.213,
2011-01,26.079,
2011-04,27.620,
2011-07,24.712,
2011-10,23.425,
2012-01,30.984,
2012-04,27.526,
2012-07,32.639,
2012-10,27.122,
2013-01,32.906,
2013-04,34.548,
2013-07,22.583,
2013-10,22.702,
2014-01,22.688,
2014-04,22.753,
2014-07,23.485,
