"",BBK01.CEFB02,BBK01.CEFB02_FLAGS
"",long-term debt securities                         debtor: Total           creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:59,
1999-01,1310.1,
1999-04,1341.0,
1999-07,1319.3,
1999-10,1308.2,
2000-01,1357.3,
2000-04,1374.1,
2000-07,1402.3,
2000-10,1407.0,
2001-01,1467.3,
2001-04,1488.7,
2001-07,1496.6,
2001-10,1521.6,
2002-01,1524.6,
2002-04,1540.3,
2002-07,1592.8,
2002-10,1586.3,
2003-01,1647.8,
2003-04,1699.5,
2003-07,1665.7,
2003-10,1674.2,
2004-01,1776.1,
2004-04,1771.7,
2004-07,1816.5,
2004-10,1848.7,
2005-01,1902.9,
2005-04,2001.5,
2005-07,2001.2,
2005-10,1975.2,
2006-01,1960.9,
2006-04,1952.1,
2006-07,1983.1,
2006-10,1991.1,
2007-01,2016.8,
2007-04,1996.7,
2007-07,1991.3,
2007-10,1991.8,
2008-01,2027.2,
2008-04,1994.5,
2008-07,2006.0,
2008-10,2116.1,
2009-01,2176.3,
2009-04,2223.1,
2009-07,2291.3,
2009-10,2294.4,
2010-01,2353.7,
2010-04,2397.6,
2010-07,2401.1,
2010-10,2290.2,
2011-01,2231.3,
2011-04,2237.6,
2011-07,2305.4,
2011-10,2312.1,
2012-01,2374.0,
2012-04,2420.5,
2012-07,2452.2,
2012-10,2479.0,
2013-01,2469.1,
2013-04,2432.5,
2013-07,2403.1,
2013-10,2414.6,
2014-01,2472.5,
2014-04,2530.3,
2014-07,2605.8,
