"",BBK01.OEBI07G,BBK01.OEBI07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:52,
2002-01,31.656,
2002-04,31.151,
2002-07,31.398,
2002-10,34.689,
2003-01,36.590,
2003-04,36.908,
2003-07,37.815,
2003-10,40.002,
2004-01,40.977,
2004-04,41.295,
2004-07,41.690,
2004-10,43.101,
2005-01,11.047,
2005-04,11.350,
2005-07,8.687,
2005-10,8.569,
2006-01,8.340,
2006-04,8.226,
2006-07,8.053,
2006-10,8.063,
2007-01,8.628,
2007-04,8.683,
2007-07,8.762,
2007-10,9.238,
2008-01,9.362,
2008-04,9.710,
2008-07,9.585,
2008-10,10.690,
2009-01,10.814,
2009-04,11.135,
2009-07,11.742,
2009-10,11.559,
2010-01,11.173,
2010-04,10.851,
2010-07,10.714,
2010-10,11.212,
2011-01,11.421,
2011-04,11.195,
2011-07,11.094,
2011-10,10.991,
2012-01,11.530,
2012-04,11.595,
2012-07,11.404,
2012-10,11.193,
2013-01,10.516,
2013-04,10.073,
2013-07,9.767,
2013-10,9.566,
2014-01,9.498,
2014-04,9.223,
2014-07,9.385,
