"",BBK01.OELI04V,BBK01.OELI04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:49,
2002-01,1.338,
2002-04,1.281,
2002-07,1.291,
2002-10,1.346,
2003-01,1.340,
2003-04,1.239,
2003-07,1.256,
2003-10,1.236,
2004-01,1.151,
2004-04,1.044,
2004-07,1.077,
2004-10,1.162,
2005-01,1.150,
2005-04,1.138,
2005-07,1.100,
2005-10,1.165,
2006-01,1.132,
2006-04,1.188,
2006-07,1.158,
2006-10,1.157,
2007-01,1.147,
2007-04,1.219,
2007-07,1.203,
2007-10,1.298,
2008-01,1.344,
2008-04,1.413,
2008-07,1.439,
2008-10,1.501,
2009-01,1.356,
2009-04,1.103,
2009-07,0.995,
2009-10,0.952,
2010-01,0.914,
2010-04,0.853,
2010-07,0.848,
2010-10,0.878,
2011-01,0.890,
2011-04,1.081,
2011-07,1.028,
2011-10,0.934,
2012-01,0.844,
2012-04,0.820,
2012-07,0.738,
2012-10,0.780,
2013-01,0.789,
2013-04,0.699,
2013-07,0.715,
2013-10,0.714,
2014-01,0.734,
2014-04,0.690,
2014-07,0.688,
