"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.IT.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.IT.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Italy,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:47,
2009-09,4766,
2009-10,4924,
2009-11,5026,
2009-12,5155,
2010-01,5250,
2010-02,5442,
2010-03,5188,
2010-04,4808,
2010-05,5386,
2010-06,5240,
2010-07,5612,
2010-08,5641,
2010-09,5943,
2010-10,6057,
2010-11,5506,
2010-12,5230,
2011-01,5231,
2011-02,5451,
2011-03,5557,
2011-04,5407,
2011-05,5261,
2011-06,5011,
2011-07,4617,
2011-08,4416,
2011-09,4133,
2011-10,4110,
2011-11,3531,
2011-12,3804,
2012-01,4348,
2012-02,4615,
2012-03,4511,
2012-04,4530,
2012-05,4335,
2012-06,4301,
2012-07,4477,
2012-08,4859,
2012-09,5359,
2012-10,5672,
2012-11,6126,
2012-12,6175,
2013-01,6590,
2013-02,6361,
2013-03,6277,
2013-04,6404,
2013-05,6233,
2013-06,6052,
2013-07,6523,
2013-08,6526,
2013-09,6779,
2013-10,7049,
2013-11,7249,
2013-12,7494,
2014-01,8109,
2014-02,8529,
2014-03,8615,
2014-04,8853,
2014-05,9031,
2014-06,9012,
2014-07,9183,
2014-08,9329,
2014-09,9459,
2014-10,10091,
2014-11,10730,
