"",BBK01.OEAA56L,BBK01.OEAA56L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:38,
2002-01,5.852,
2002-04,5.130,
2002-07,5.163,
2002-10,6.524,
2003-01,6.521,
2003-04,6.256,
2003-07,6.049,
2003-10,2.626,
2004-01,0.447,
2004-04,0.450,
2004-07,0.484,
2004-10,0.471,
2005-01,1.354,
2005-04,1.023,
2005-07,1.201,
2005-10,1.123,
2006-01,0.171,
2006-04,0.164,
2006-07,0.175,
2006-10,0.149,
2007-01,0.132,
2007-04,0.122,
2007-07,0.118,
2007-10,0.133,
2008-01,18.010,
2008-04,0.081,
2008-07,0.095,
2008-10,0.074,
2009-01,0.090,
2009-04,0.069,
2009-07,0.072,
2009-10,0.101,
2010-01,0.091,
2010-04,0.123,
2010-07,0.118,
2010-10,0.127,
2011-01,0.146,
2011-04,0.235,
2011-07,0.265,
2011-10,0.248,
2012-01,0.237,
2012-04,0.232,
2012-07,0.327,
2012-10,0.319,
2013-01,0.303,
2013-04,0.300,
2013-07,0.356,
2013-10,0.344,
2014-01,0.308,
2014-04,0.373,
2014-07,0.798,
