"",BBK01.OEYM01O,BBK01.OEYM01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:33,
2002-01,0.314,
2002-04,0.416,
2002-07,0.189,
2002-10,0.217,
2003-01,0.245,
2003-04,0.401,
2003-07,0.533,
2003-10,0.465,
2004-01,0.367,
2004-04,0.383,
2004-07,0.293,
2004-10,0.237,
2005-01,0.105,
2005-04,0.237,
2005-07,0.248,
2005-10,0.194,
2006-01,0.253,
2006-04,0.429,
2006-07,1.178,
2006-10,1.499,
2007-01,1.208,
2007-04,0.999,
2007-07,0.833,
2007-10,0.680,
2008-01,0.728,
2008-04,0.684,
2008-07,0.443,
2008-10,0.172,
2009-01,0.119,
2009-04,0.084,
2009-07,0.178,
2009-10,0.208,
2010-01,0.200,
2010-04,0.303,
2010-07,0.523,
2010-10,0.737,
2011-01,0.584,
2011-04,0.640,
2011-07,0.296,
2011-10,1.008,
2012-01,0.517,
2012-04,0.720,
2012-07,0.683,
2012-10,1.804,
2013-01,1.087,
2013-04,0.661,
2013-07,0.678,
2013-10,1.047,
2014-01,0.770,
2014-04,0.870,
2014-07,0.878,
