"",BBK01.OEBB19N,BBK01.OEBB19N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:44,
2002-01,8.156,
2002-04,8.027,
2002-07,8.407,
2002-10,7.937,
2003-01,8.257,
2003-04,8.758,
2003-07,9.077,
2003-10,9.818,
2004-01,9.591,
2004-04,10.259,
2004-07,11.272,
2004-10,9.636,
2005-01,9.515,
2005-04,9.973,
2005-07,9.564,
2005-10,9.578,
2006-01,8.694,
2006-04,8.710,
2006-07,8.794,
2006-10,8.811,
2007-01,8.544,
2007-04,8.683,
2007-07,8.545,
2007-10,8.713,
2008-01,8.683,
2008-04,8.889,
2008-07,8.522,
2008-10,8.688,
2009-01,8.400,
2009-04,8.834,
2009-07,9.080,
2009-10,9.172,
2010-01,9.214,
2010-04,9.252,
2010-07,9.477,
2010-10,9.636,
2011-01,9.739,
2011-04,9.838,
2011-07,9.961,
2011-10,9.524,
2012-01,9.301,
2012-04,9.152,
2012-07,9.160,
2012-10,9.159,
2013-01,9.289,
2013-04,9.307,
2013-07,9.325,
2013-10,9.304,
2014-01,9.160,
2014-04,9.350,
2014-07,9.500,
