"",BBK01.OEAH02J,BBK01.OEAH02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:55,
2002-01,4.521,
2002-04,4.775,
2002-07,4.689,
2002-10,5.114,
2003-01,4.901,
2003-04,5.042,
2003-07,4.932,
2003-10,5.268,
2004-01,5.362,
2004-04,5.561,
2004-07,5.708,
2004-10,5.749,
2005-01,5.898,
2005-04,6.122,
2005-07,6.193,
2005-10,6.219,
2006-01,6.327,
2006-04,6.559,
2006-07,6.236,
2006-10,6.659,
2007-01,6.668,
2007-04,6.906,
2007-07,7.378,
2007-10,7.348,
2008-01,7.077,
2008-04,7.292,
2008-07,7.580,
2008-10,8.120,
2009-01,8.358,
2009-04,8.585,
2009-07,8.560,
2009-10,9.273,
2010-01,9.037,
2010-04,9.436,
2010-07,8.739,
2010-10,9.047,
2011-01,9.152,
2011-04,9.394,
2011-07,9.325,
2011-10,9.482,
2012-01,9.504,
2012-04,10.188,
2012-07,10.743,
2012-10,11.307,
2013-01,11.361,
2013-04,11.371,
2013-07,11.651,
2013-10,12.028,
2014-01,11.592,
2014-04,11.671,
2014-07,12.026,
