"",BBK01.OELJ01L,BBK01.OELJ01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:17,
2002-01,3.995,
2002-04,4.012,
2002-07,4.159,
2002-10,4.249,
2003-01,4.241,
2003-04,4.316,
2003-07,4.492,
2003-10,4.544,
2004-01,4.423,
2004-04,4.343,
2004-07,4.389,
2004-10,4.322,
2005-01,4.270,
2005-04,4.367,
2005-07,4.568,
2005-10,4.579,
2006-01,4.494,
2006-04,4.483,
2006-07,4.656,
2006-10,4.693,
2007-01,4.723,
2007-04,4.816,
2007-07,5.013,
2007-10,5.041,
2008-01,5.041,
2008-04,5.150,
2008-07,5.646,
2008-10,5.633,
2009-01,5.965,
2009-04,6.064,
2009-07,6.512,
2009-10,6.307,
2010-01,6.645,
2010-04,6.663,
2010-07,6.822,
2010-10,6.856,
2011-01,6.931,
2011-04,6.874,
2011-07,7.101,
2011-10,7.307,
2012-01,7.014,
2012-04,7.335,
2012-07,7.377,
2012-10,7.900,
2013-01,7.971,
2013-04,8.186,
2013-07,8.273,
2013-10,8.136,
2014-01,8.462,
2014-04,8.701,
2014-07,8.703,
