"",BBK01.CEFF51,BBK01.CEFF51_FLAGS
"",long-term loans  debtor: OFI                                                          creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:52,
1999-01,2.9,
1999-04,2.9,
1999-07,2.8,
1999-10,2.8,
2000-01,3.5,
2000-04,4.2,
2000-07,5.0,
2000-10,5.7,
2001-01,5.6,
2001-04,5.4,
2001-07,5.3,
2001-10,5.2,
2002-01,5.2,
2002-04,5.3,
2002-07,5.4,
2002-10,5.5,
2003-01,5.9,
2003-04,6.3,
2003-07,6.8,
2003-10,7.2,
2004-01,8.6,
2004-04,9.9,
2004-07,11.3,
2004-10,12.7,
2005-01,12.4,
2005-04,12.1,
2005-07,11.9,
2005-10,11.6,
2006-01,12.0,
2006-04,12.3,
2006-07,12.7,
2006-10,13.0,
2007-01,13.2,
2007-04,13.4,
2007-07,13.5,
2007-10,13.7,
2008-01,13.1,
2008-04,12.6,
2008-07,12.0,
2008-10,11.5,
2009-01,12.0,
2009-04,12.5,
2009-07,13.1,
2009-10,13.6,
2010-01,14.0,
2010-04,14.5,
2010-07,14.9,
2010-10,15.4,
2011-01,14.9,
2011-04,14.5,
2011-07,14.0,
2011-10,13.5,
2012-01,13.3,
2012-04,13.1,
2012-07,12.9,
2012-10,12.6,
2013-01,11.7,
2013-04,10.2,
2013-07,10.1,
2013-10,7.6,
2014-01,7.6,
2014-04,7.2,
2014-07,7.1,
