"",BBFB1.Q.N.DE.U3.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.U3.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:00,
1991-01,3764.958,
1991-04,-3670.696,
1991-07,611.728,
1991-10,1928.946,
1992-01,1868.818,
1992-04,71.507,
1992-07,2409.711,
1992-10,11331.780,
1993-01,9305.522,
1993-04,9737.880,
1993-07,6055.515,
1993-10,24084.856,
1994-01,-3289.522,
1994-04,-6605.832,
1994-07,-4043.596,
1994-10,17506.303,
1995-01,1158.497,
1995-04,12232.072,
1995-07,5259.507,
1995-10,2937.798,
1996-01,-6643.136,
1996-04,6331.359,
1996-07,-1505.357,
1996-10,23577.559,
1997-01,10368.854,
1997-04,14403.335,
1997-07,7533.409,
1997-10,12536.049,
1998-01,32344.546,
1998-04,16510.853,
1998-07,-9032.474,
1998-10,4691.857,
1999-01,29515.141,
1999-04,10192.098,
1999-07,335.757,
1999-10,31572.263,
2000-01,72647.247,
2000-04,18609.361,
2000-07,12594.181,
2000-10,-28151.991,
2001-01,49000.948,
2001-04,1072.948,
2001-07,41895.346,
2001-10,8475.214,
2002-01,2278.334,
2002-04,24957.995,
2002-07,35183.975,
2002-10,-2936.642,
2003-01,54383.524,
2003-04,35753.677,
2003-07,-12657.591,
2003-10,22721.855,
2004-01,71883.288,
2004-04,-8279.224,
2004-07,39095.711,
2004-10,10945.865,
2005-01,65031.691,
2005-04,9034.787,
2005-07,16058.810,
2005-10,-40682.821,
2006-01,98947.296,
2006-04,22910.436,
2006-07,24606.778,
2006-10,16352.853,
2007-01,51640.733,
2007-04,46337.887,
2007-07,10560.177,
2007-10,-18614.038,
2008-01,54883.036,
2008-04,-5244.477,
2008-07,26769.059,
2008-10,-66517.766,
2009-01,-62037.827,
2009-04,32653.122,
2009-07,-30359.394,
2009-10,5380.525,
2010-01,24304.315,
2010-04,5540.825,
2010-07,-10880.547,
2010-10,36209.991,
2011-01,832.741,
2011-04,3512.823,
2011-07,5832.962,
2011-10,-8761.065,
2012-01,40700.926,
2012-04,394.139,
2012-07,32652.238,
2012-10,-21321.806,
2013-01,8320.622,
2013-04,-8001.972,
2013-07,-14149.959,
2013-10,27399.834,
2014-01,33980.668,Provisional value
2014-04,17294.278,Provisional value
2014-07,992.840,Provisional value
2014-10,-15328.685,Provisional value
