"",BBK01.OEBB19S,BBK01.OEBB19S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:47,
2002-01,0.091,
2002-04,0.088,
2002-07,0.085,
2002-10,0.085,
2003-01,0.082,
2003-04,0.080,
2003-07,0.082,
2003-10,0.080,
2004-01,0.079,
2004-04,0.082,
2004-07,0.081,
2004-10,0.085,
2005-01,0.098,
2005-04,0.104,
2005-07,0.104,
2005-10,0.103,
2006-01,0.105,
2006-04,0.104,
2006-07,0.106,
2006-10,0.108,
2007-01,0.112,
2007-04,0.106,
2007-07,0.108,
2007-10,0.104,
2008-01,0.103,
2008-04,0.106,
2008-07,0.110,
2008-10,0.111,
2009-01,0.110,
2009-04,0.107,
2009-07,0.111,
2009-10,0.109,
2010-01,0.111,
2010-04,0.121,
2010-07,0.128,
2010-10,0.122,
2011-01,0.120,
2011-04,0.120,
2011-07,0.124,
2011-10,0.123,
2012-01,0.124,
2012-04,0.121,
2012-07,0.119,
2012-10,0.116,
2013-01,0.114,
2013-04,0.110,
2013-07,0.107,
2013-10,0.102,
2014-01,0.100,
2014-04,0.097,
2014-07,0.095,
