"",BBK01.OEAC52P,BBK01.OEAC52P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:14,
2002-01,0.146,
2002-04,0.146,
2002-07,0.147,
2002-10,0.131,
2003-01,0.130,
2003-04,0.132,
2003-07,0.128,
2003-10,0.124,
2004-01,0.122,
2004-04,0.125,
2004-07,0.117,
2004-10,0.121,
2005-01,0.119,
2005-04,0.119,
2005-07,0.117,
2005-10,0.112,
2006-01,0.116,
2006-04,0.115,
2006-07,0.128,
2006-10,0.132,
2007-01,0.124,
2007-04,0.125,
2007-07,0.129,
2007-10,0.136,
2008-01,0.146,
2008-04,0.173,
2008-07,0.181,
2008-10,0.183,
2009-01,0.199,
2009-04,0.184,
2009-07,0.181,
2009-10,0.169,
2010-01,0.166,
2010-04,0.164,
2010-07,0.165,
2010-10,0.166,
2011-01,0.167,
2011-04,0.169,
2011-07,0.169,
2011-10,0.169,
2012-01,0.174,
2012-04,0.169,
2012-07,0.171,
2012-10,0.176,
2013-01,0.175,
2013-04,0.179,
2013-07,0.181,
2013-10,0.181,
2014-01,0.178,
2014-04,0.183,
2014-07,0.182,
