"",BBFB1.Q.N.DE.MX.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.MX.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Mexico,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:00,
1991-01,6.540,
1991-04,21.840,
1991-07,10.683,
1991-10,70.079,
1992-01,3.570,
1992-04,28.898,
1992-07,10.190,
1992-10,9.359,
1993-01,-25.160,
1993-04,-2.806,
1993-07,5.202,
1993-10,21.739,
1994-01,-66.558,
1994-04,-12.517,
1994-07,-87.170,
1994-10,-50.565,
1995-01,26.820,
1995-04,122.121,
1995-07,40.682,
1995-10,147.774,
1996-01,-3.090,
1996-04,76.667,
1996-07,133.429,
1996-10,60.459,
1997-01,191.197,
1997-04,128.745,
1997-07,351.154,
1997-10,347.238,
1998-01,-28.883,
1998-04,72.969,
1998-07,208.008,
1998-10,226.807,
1999-01,-79.345,
1999-04,10.431,
1999-07,246.036,
1999-10,280.686,
2000-01,-22.401,
2000-04,217.628,
2000-07,179.135,
2000-10,691.610,
2001-01,22.470,
2001-04,62.539,
2001-07,-174.285,
2001-10,-56.340,
2002-01,-23.767,
2002-04,114.510,
2002-07,52.755,
2002-10,-66.882,
2003-01,-22.837,
2003-04,280.396,
2003-07,-162.134,
2003-10,-172.640,
2004-01,-2.617,
2004-04,-19.181,
2004-07,139.071,
2004-10,35.646,
2005-01,56.227,
2005-04,110.456,
2005-07,-65.550,
2005-10,-115.985,
2006-01,633.033,
2006-04,20.939,
2006-07,220.514,
2006-10,54.896,
2007-01,-280.366,
2007-04,184.699,
2007-07,-69.427,
2007-10,384.721,
2008-01,-237.139,
2008-04,72.830,
2008-07,409.930,
2008-10,145.064,
2009-01,-0.554,
2009-04,-313.352,
2009-07,-195.437,
2009-10,-32.728,
2010-01,386.969,
2010-04,237.115,
2010-07,117.818,
2010-10,177.193,
2011-01,149.655,
2011-04,28.083,
2011-07,338.522,
2011-10,-163.251,
2012-01,212.950,
2012-04,503.025,
2012-07,407.701,
2012-10,-70.555,
2013-01,403.257,
2013-04,-50.742,
2013-07,392.412,
2013-10,306.265,
2014-01,277.252,Provisional value
2014-04,417.293,Provisional value
2014-07,195.697,Provisional value
2014-10,350.548,Provisional value
