"",BBK01.OECK03L,BBK01.OECK03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:52,
2002-01,0.711,
2002-04,0.632,
2002-07,0.662,
2002-10,0.771,
2003-01,0.674,
2003-04,0.586,
2003-07,0.585,
2003-10,0.501,
2004-01,0.524,
2004-04,0.434,
2004-07,0.460,
2004-10,0.588,
2005-01,0.555,
2005-04,0.603,
2005-07,0.705,
2005-10,0.580,
2006-01,0.500,
2006-04,0.507,
2006-07,0.724,
2006-10,0.827,
2007-01,0.672,
2007-04,0.738,
2007-07,0.731,
2007-10,0.978,
2008-01,0.880,
2008-04,0.908,
2008-07,1.055,
2008-10,1.218,
2009-01,1.268,
2009-04,0.917,
2009-07,1.678,
2009-10,1.309,
2010-01,0.522,
2010-04,1.795,
2010-07,2.154,
2010-10,1.185,
2011-01,2.052,
2011-04,2.225,
2011-07,0.674,
2011-10,0.550,
2012-01,0.514,
2012-04,0.419,
2012-07,0.439,
2012-10,0.316,
2013-01,0.286,
2013-04,0.196,
2013-07,0.198,
2013-10,0.260,
2014-01,0.260,
2014-04,0.266,
2014-07,0.366,
