"",BBK01.OEAH50R,BBK01.OEAH50R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:50,
2002-01,0.044,
2002-04,0.046,
2002-07,0.047,
2002-10,0.049,
2003-01,0.047,
2003-04,0.045,
2003-07,0.041,
2003-10,0.045,
2004-01,0.044,
2004-04,0.045,
2004-07,0.045,
2004-10,0.045,
2005-01,0.047,
2005-04,0.046,
2005-07,0.043,
2005-10,0.043,
2006-01,0.044,
2006-04,0.047,
2006-07,0.049,
2006-10,0.055,
2007-01,0.054,
2007-04,0.054,
2007-07,0.057,
2007-10,0.059,
2008-01,0.057,
2008-04,0.060,
2008-07,0.061,
2008-10,0.064,
2009-01,0.061,
2009-04,0.054,
2009-07,0.047,
2009-10,0.045,
2010-01,0.047,
2010-04,0.046,
2010-07,0.045,
2010-10,0.044,
2011-01,0.046,
2011-04,0.050,
2011-07,0.051,
2011-10,0.055,
2012-01,0.052,
2012-04,0.051,
2012-07,0.048,
2012-10,0.045,
2013-01,0.042,
2013-04,0.040,
2013-07,0.040,
2013-10,0.039,
2014-01,0.038,
2014-04,0.037,
2014-07,0.036,
