"",BBSF2.M.1.S.00000.REN01.I.F.AKT.DE.00000.000000.Z01.00,BBSF2.M.1.S.00000.REN01.I.F.AKT.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Shares / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:44,
2009-09,1658,
2009-10,1605,
2009-11,1682,
2009-12,1747,
2010-01,1650,
2010-02,1576,
2010-03,1690,
2010-04,1703,
2010-05,1647,
2010-06,1633,
2010-07,1659,
2010-08,1656,
2010-09,1768,
2010-10,1899,
2010-11,1884,
2010-12,1940,
2011-01,1956,
2011-02,1954,
2011-03,1872,
2011-04,1942,
2011-05,1856,
2011-06,1917,
2011-07,1863,
2011-08,1582,
2011-09,1485,
2011-10,1636,
2011-11,1666,
2011-12,1661,
2012-01,1741,
2012-02,1878,
2012-03,1878,
2012-04,1855,
2012-05,1739,
2012-06,1775,
2012-07,1889,
2012-08,1943,
2012-09,1996,
2012-10,2048,
2012-11,2133,
2012-12,2203,
2013-01,2236,
2013-02,2161,
2013-03,2151,
2013-04,2200,
2013-05,2268,
2013-06,2128,
2013-07,2262,
2013-08,2184,
2013-09,2370,
2013-10,2480,
2013-11,2756,
2013-12,3942,
2014-01,3687,
2014-02,3658,
2014-03,3555,
2014-04,3047,
2014-05,2618,
2014-06,2683,
2014-07,2359,
2014-08,2708,
2014-09,2710,
2014-10,3474,
2014-11,2652,
