"",BBEX3.M.MRO.USD.CA.AA.A01,BBEX3.M.MRO.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Mauritania / USD 1 = MRO ... (buying),
unit,MRO (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:19,
1975-01,41.85,
1975-02,40.65,
1975-03,41.28,
1975-04,41.55,
1975-05,40.92,
1975-06,41.06,
1975-07,43.83,
1975-08,44.02,
1975-09,45.48,
1975-10,43.87,
1975-11,44.42,
1975-12,44.81,
1976-01,44.67,
1976-02,44.45,
1976-03,44.90,
1976-04,44.70,
1976-05,45.36,
1976-06,45.40,
1976-07,45.55,
1976-08,45.01,
1976-09,44.40,
1976-10,43.88,
1976-11,43.84,
1976-12,43.31,
1977-01,44.03,
1977-02,43.81,
1977-03,44.57,
1977-04,45.27,
1977-05,45.89,
1977-06,45.82,
1977-07,45.72,
1977-08,45.84,
1977-09,45.84,
1977-10,45.81,
1977-11,45.77,
1977-12,45.71,
1978-01,45.72,
1978-02,45.74,
1978-03,45.69,
1978-04,45.91,
1978-05,45.94,
1978-06,45.87,
1978-07,45.81,
1978-08,45.81,
1978-09,45.81,
1978-10,45.81,
1978-11,45.81,
1978-12,45.81,
1979-01,45.55,
1979-02,45.53,
1979-03,45.55,
1979-04,45.56,
1979-05,45.59,
1979-06,45.53,
1979-07,45.55,
1979-08,45.56,
1979-09,45.53,
1979-10,45.51,
1979-11,45.53,
1979-12,45.50,
1980-01,45.51,
1980-02,45.53,
1980-03,45.63,
1980-04,45.57,
1980-05,45.54,
1980-06,45.52,
1980-07,45.52,
1980-08,45.55,
1980-09,45.57,
1980-10,45.62,
1980-11,45.65,
1980-12,45.68,
1981-01,46.16,
1981-02,46.68,
1981-03,46.73,
1981-04,47.22,
1981-05,48.06,
1981-06,48.47,
1981-07,48.89,
1981-08,48.93,
1981-09,47.98,
1981-10,48.66,
1981-11,48.29,
1981-12,48.57,
1982-01,48.93,
1982-02,50.32,
1982-03,50.91,
1982-04,50.67,
1982-05,50.51,
1982-06,52.47,
1982-07,52.40,
1982-08,52.50,
1982-09,53.15,
1982-10,53.32,
1982-11,53.13,
1982-12,52.56,
1983-01,52.52,
1983-02,52.46,
1983-03,53.48,
1983-04,53.72,
1983-05,54.24,
1983-06,54.41,
1983-07,55.10,
1983-08,55.60,
1983-09,55.43,
1983-10,55.34,
1983-11,56.08,
1983-12,56.60,
1984-01,57.21,
1984-02,57.75,
1984-03,58.95,
1984-04,61.69,
1984-05,64.08,
1984-06,66.02,
1984-07,66.43,
1984-08,66.45,
1984-09,66.65,
1984-10,66.65,
1984-11,66.72,
1984-12,66.79,
1985-01,72.08,
1985-02,81.38,comment
1985-03,76.93,
1985-04,77.06,
1985-05,78.52,
1985-06,79.55,
1985-07,76.33,
1985-08,75.65,
1985-09,76.55,
1985-10,75.71,
1985-11,74.96,
1985-12,76.49,
1986-01,74.43,
1986-02,72.75,
1986-03,74.95,
1986-04,73.05,
1986-05,75.00,
1986-06,75.23,
1986-07,73.84,
1986-08,72.72,
1986-09,73.15,
1986-10,73.56,
1986-11,72.89,
1986-12,73.52,
1987-01,70.86,
1987-02,71.71,
1987-03,72.32,
1987-04,72.97,
1987-05,73.45,
1987-06,74.70,
1987-07,75.27,
1987-08,74.27,
1987-09,74.75,
1987-10,72.78,
1987-11,72.75,
