"",BBFB1.Q.N.DE.TW.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.TW.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"","Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Taiwan, Province of China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:23,
1991-01,2.436,
1991-04,2.436,
1991-07,2.436,
1991-10,2.436,
1992-01,0.586,
1992-04,0.288,
1992-07,0.586,
1992-10,0.586,
1993-01,-0.279,
1993-04,-0.279,
1993-07,-0.279,
1993-10,-0.279,
1994-01,-0.277,
1994-04,0.483,
1994-07,0.483,
1994-10,0.483,
1995-01,-2.787,
1995-04,-2.787,
1995-07,-2.787,
1995-10,-2.787,
1996-01,1.565,
1996-04,1.565,
1996-07,1.565,
1996-10,1.565,
1997-01,26.843,
1997-04,26.843,
1997-07,26.843,
1997-10,26.843,
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,-9.000,
1999-04,-9.000,
1999-07,-11.000,
1999-10,-12.000,
2000-01,6.000,
2000-04,6.000,
2000-07,6.000,
2000-10,3.000,
2001-01,-10.723,
2001-04,-14.236,
2001-07,-23.189,
2001-10,-11.809,
2002-01,-5.058,
2002-04,-5.669,
2002-07,-16.999,
2002-10,-4.610,
2003-01,-3.115,
2003-04,10.893,
2003-07,0.134,
2003-10,11.616,
2004-01,16.890,
2004-04,4.614,
2004-07,1.987,
2004-10,5.810,
2005-01,18.584,
2005-04,12.218,
2005-07,11.050,
2005-10,29.147,
2006-01,23.555,
2006-04,31.032,
2006-07,11.992,
2006-10,35.423,
2007-01,70.370,
2007-04,50.221,
2007-07,33.945,
2007-10,32.520,
2008-01,28.260,
2008-04,10.741,
2008-07,-19.718,
2008-10,10.280,
2009-01,16.452,
2009-04,5.971,
2009-07,13.009,
2009-10,8.566,
2010-01,30.440,
2010-04,34.749,
2010-07,34.152,
2010-10,27.656,
2011-01,42.362,
2011-04,28.266,
2011-07,45.447,
2011-10,29.914,
2012-01,12.665,
2012-04,36.479,
2012-07,18.354,
2012-10,44.289,
2013-01,22.541,
2013-04,8.541,
2013-07,4.538,
2013-10,49.535,
2014-01,14.541,Provisional value
2014-04,-16.549,Provisional value
2014-07,26.451,Provisional value
2014-10,-92.549,Provisional value
