"",BBK01.OEHM07O,BBK01.OEHM07O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:05,
2002-01,0.094,
2002-04,0.093,
2002-07,0.086,
2002-10,0.085,
2003-01,0.096,
2003-04,0.094,
2003-07,0.088,
2003-10,0.092,
2004-01,0.089,
2004-04,0.094,
2004-07,0.094,
2004-10,0.093,
2005-01,0.087,
2005-04,0.084,
2005-07,0.083,
2005-10,0.082,
2006-01,0.080,
2006-04,0.086,
2006-07,0.078,
2006-10,0.075,
2007-01,0.074,
2007-04,0.072,
2007-07,0.067,
2007-10,0.065,
2008-01,0.060,
2008-04,0.060,
2008-07,0.062,
2008-10,0.059,
2009-01,0.060,
2009-04,0.056,
2009-07,0.055,
2009-10,0.055,
2010-01,0.056,
2010-04,0.057,
2010-07,0.072,
2010-10,0.071,
2011-01,0.085,
2011-04,0.086,
2011-07,0.053,
2011-10,0.053,
2012-01,0.058,
2012-04,0.061,
2012-07,0.065,
2012-10,0.062,
2013-01,0.082,
2013-04,0.081,
2013-07,0.065,
2013-10,0.075,
2014-01,0.072,
2014-04,0.077,
2014-07,0.081,
