"",BBK01.WU083U,BBK01.WU083U_FLAGS
"","ECB-REPORT, QUOTED SHARES IPFs outstanding amount Shares in circulation at market values (market capitalisation) / Insurance corporations",
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-09 06:40:09,
1999-01,196496,
1999-02,183299,
1999-03,187900,
1999-04,193203,
1999-05,171637,
1999-06,180188,
1999-07,176221,
1999-08,161508,
1999-09,169257,
1999-10,181141,
1999-11,192428,
1999-12,221730,
2000-01,219915,
2000-02,230385,
2000-03,249594,
2000-04,248881,
2000-05,233338,
2000-06,205528,
2000-07,244247,
2000-08,237212,
2000-09,227362,
2000-10,183239,
2000-11,185236,
2000-12,185046,
2001-01,225171,
2001-02,208566,
2001-03,194235,
2001-04,198944,
2001-05,198192,
2001-06,202180,
2001-07,140059,
2001-08,156219,
2001-09,130359,
2001-10,138687,
2001-11,141439,
2001-12,141493,
2002-01,160481,
2002-02,159796,
2002-03,165241,
2002-04,158693,
2002-05,144513,
2002-06,147763,
2002-07,132041,
2002-08,105430,
2002-09,72298,
2002-10,79890,
2002-11,84337,
2002-12,49675,
2003-01,43520,
2003-02,58121,
2003-03,44245,
2003-04,65778,
2003-05,65942,
2003-06,69451,
2003-07,78859,
2003-08,74115,
2003-09,68683,
2003-10,77698,
2003-11,81423,
2003-12,84476,
2004-01,86717,
2004-02,85475,
2004-03,80338,
2004-04,80221,
2004-05,77061,
2004-06,80394,
2004-07,73910,
2004-08,72367,
2004-09,73617,
2004-10,73369,
2004-11,80617,
2004-12,82887,
2005-01,80095,
2005-02,86083,
2005-03,87187,
2005-04,81570,
2005-05,84113,
2005-06,83547,
2005-07,90784,
2005-08,89552,
2005-09,95892,
2005-10,98079,
2005-11,103920,
2005-12,108669,
2006-01,97958,
2006-02,99134,
2006-03,105458,
2006-04,102410,
2006-05,94939,
2006-06,96677,
2006-07,97496,
2006-08,115420,
2006-09,115938,
2006-10,123753,
2006-11,124127,
2006-12,128922,
2007-01,130236,
2007-02,132516,
2007-03,134264,
2007-04,140452,
2007-05,140096,
2007-06,141922,
2007-07,132620,
2007-08,123642,
2007-09,128401,
2007-10,124501,
2007-11,115662,
2007-12,121258,
2008-01,102803,
2008-02,103641,
2008-03,108865,
2008-04,112241,
2008-05,108290,
2008-06,100564,
2008-07,99413,
2008-08,100900,
2008-09,90846,
2008-10,69089,
2008-11,72293,
2008-12,71919,
2009-01,65912,
2009-02,53489,
2009-03,57732,
2009-04,64969,
2009-05,61340,
2009-06,58215,
2009-07,62279,
2009-08,67024,
2009-09,71498,
2009-10,68371,
2009-11,69175,
2009-12,72524,
2010-01,69603,
2010-02,72127,
2010-03,78160,
2010-04,72726,
2010-05,69688,
2010-06,69537,
2010-07,73415,
2010-08,68501,
2010-09,69564,
2010-10,74826,
2010-11,72863,
2010-12,74562,
2011-01,80487,
2011-02,83187,
2011-03,77859,
2011-04,81144,
2011-05,75401,
2011-06,73439,
2011-07,69520,
2011-08,57856,
2011-09,57693,
2011-10,64023,
2011-11,61073,
2011-12,59600,
2012-01,66216,
2012-02,71478,
2012-03,71777,
2012-04,69054,
2012-05,61263,
2012-06,65569,
2012-07,68579,
2012-08,71548,
2012-09,75256,
2012-10,77898,
2012-11,81705,
2012-12,84872,
2013-01,85402,
2013-02,85453,
2013-03,89187,
2013-04,93450,
2013-05,94984,
2013-06,89949,
2013-07,94018,
2013-08,88409,
2013-09,92580,
2013-10,98940,
2013-11,102558,
2013-12,103681,
2014-01,97694,
2014-02,102098,
2014-03,100369,
2014-04,102642,
2014-05,95645,
2014-06,93295,
2014-07,94627,
2014-08,95156,
2014-09,95210,
2014-10,94602,
2014-11,101916,
2014-12,102711,
