"",BBK01.OEHB10K,BBK01.OEHB10K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:39,
2002-01,1.672,
2002-04,1.662,
2002-07,1.717,
2002-10,1.503,
2003-01,1.469,
2003-04,1.372,
2003-07,1.274,
2003-10,1.252,
2004-01,1.194,
2004-04,1.380,
2004-07,1.296,
2004-10,1.325,
2005-01,1.159,
2005-04,1.114,
2005-07,1.148,
2005-10,1.120,
2006-01,1.001,
2006-04,1.008,
2006-07,1.022,
2006-10,0.892,
2007-01,1.013,
2007-04,1.009,
2007-07,1.083,
2007-10,1.122,
2008-01,1.193,
2008-04,1.237,
2008-07,1.361,
2008-10,1.428,
2009-01,1.530,
2009-04,1.841,
2009-07,1.648,
2009-10,1.664,
2010-01,1.677,
2010-04,1.794,
2010-07,1.882,
2010-10,1.828,
2011-01,1.963,
2011-04,1.971,
2011-07,1.944,
2011-10,1.827,
2012-01,1.813,
2012-04,2.159,
2012-07,2.044,
2012-10,2.081,
2013-01,2.015,
2013-04,2.606,
2013-07,1.847,
2013-10,1.756,
2014-01,1.742,
2014-04,1.944,
2014-07,1.657,
