"",BBSF2.M.1.S.00000.REN01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.S.00000.REN01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Special investors funds / Bonds funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:43,
2009-09,98977,
2009-10,99912,
2009-11,101707,
2009-12,103998,
2010-01,106088,
2010-02,108793,
2010-03,110946,
2010-04,108636,
2010-05,109199,
2010-06,108759,
2010-07,110300,
2010-08,114292,
2010-09,115302,
2010-10,116418,
2010-11,113841,
2010-12,111404,
2011-01,110812,
2011-02,112116,
2011-03,112636,
2011-04,111034,
2011-05,110946,
2011-06,109578,
2011-07,109849,
2011-08,110813,
2011-09,109912,
2011-10,110699,
2011-11,107207,
2011-12,112242,
2012-01,115481,
2012-02,118767,
2012-03,122074,
2012-04,121850,
2012-05,125310,
2012-06,124235,
2012-07,128363,
2012-08,131423,
2012-09,133349,
2012-10,135902,
2012-11,138659,
2012-12,141020,
2013-01,141319,
2013-02,141651,
2013-03,143938,
2013-04,147673,
2013-05,146151,
2013-06,140525,
2013-07,141958,
2013-08,141713,
2013-09,142366,
2013-10,144620,
2013-11,147324,
2013-12,145878,
2014-01,150507,
2014-02,152320,
2014-03,157839,
2014-04,156863,
2014-05,159687,
2014-06,160864,
2014-07,162707,
2014-08,166547,
2014-09,166064,
2014-10,166285,
2014-11,168820,
