"",BBK01.OEAO06M,BBK01.OEAO06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:01,
2002-01,49.883,
2002-04,49.036,
2002-07,48.807,
2002-10,50.019,
2003-01,50.229,
2003-04,49.622,
2003-07,49.409,
2003-10,50.116,
2004-01,50.029,
2004-04,49.718,
2004-07,49.332,
2004-10,50.740,
2005-01,53.890,
2005-04,53.469,
2005-07,52.963,
2005-10,53.406,
2006-01,53.185,
2006-04,52.636,
2006-07,51.865,
2006-10,51.748,
2007-01,50.825,
2007-04,49.908,
2007-07,48.830,
2007-10,49.120,
2008-01,48.208,
2008-04,47.522,
2008-07,46.118,
2008-10,47.636,
2009-01,48.087,
2009-04,48.342,
2009-07,48.414,
2009-10,49.290,
2010-01,49.998,
2010-04,50.288,
2010-07,50.197,
2010-10,51.046,
2011-01,51.687,
2011-04,51.528,
2011-07,51.344,
2011-10,51.803,
2012-01,52.100,
2012-04,51.788,
2012-07,51.291,
2012-10,51.458,
2013-01,51.821,
2013-04,51.636,
2013-07,51.380,
2013-10,51.704,
2014-01,51.654,
2014-04,51.330,
2014-07,51.400,
