"",BBSF2.M.1.P.00000.SON01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.SON01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Other funds / Deposits and loan claims,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:09,
2009-09,37,
2009-10,99,
2009-11,407,
2009-12,350,
2010-01,94,
2010-02,122,
2010-03,139,
2010-04,150,
2010-05,162,
2010-06,268,
2010-07,299,
2010-08,209,
2010-09,413,
2010-10,227,
2010-11,445,
2010-12,206,
2011-01,299,
2011-02,347,
2011-03,348,
2011-04,337,
2011-05,331,
2011-06,313,
2011-07,232,
2011-08,201,
2011-09,185,
2011-10,159,
2011-11,618,
2011-12,184,
2012-01,155,
2012-02,153,
2012-03,197,
2012-04,180,
2012-05,234,
2012-06,374,
2012-07,358,
2012-08,134,
2012-09,252,
2012-10,254,
2012-11,1114,
2012-12,125,
2013-01,116,
2013-02,112,
2013-03,110,
2013-04,117,
2013-05,113,
2013-06,124,
2013-07,114,
2013-08,118,
2013-09,157,
2013-10,210,
2013-11,123,
2013-12,121,
2014-01,139,
2014-02,126,
2014-03,157,
2014-04,133,
2014-05,127,
2014-06,132,
2014-07,145,
2014-08,155,
2014-09,150,
2014-10,181,
2014-11,153,
