"",BBFB1.Q.N.DE.1A.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.1A.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / International organisations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:58,
1991-01,113.268,
1991-04,-49.775,
1991-07,158.266,
1991-10,-77.295,
1992-01,-48.795,
1992-04,-56.579,
1992-07,-386.643,
1992-10,-38.688,
1993-01,-62.130,
1993-04,-63.102,
1993-07,-15.022,
1993-10,-79.037,
1994-01,59.899,
1994-04,-24.976,
1994-07,-107.721,
1994-10,-66.346,
1995-01,-27.251,
1995-04,-18.290,
1995-07,0.660,
1995-10,87.116,
1996-01,31.676,
1996-04,69.392,
1996-07,10.654,
1996-10,23.856,
1997-01,36.367,
1997-04,3.731,
1997-07,-12.236,
1997-10,11.777,
1998-01,177.184,
1998-04,148.435,
1998-07,33.102,
1998-10,391.658,
1999-01,-44.790,
1999-04,18.965,
1999-07,17.269,
1999-10,-40.509,
2000-01,-31.826,
2000-04,-18.499,
2000-07,24.188,
2000-10,-58.060,
2001-01,-23.144,
2001-04,-40.992,
2001-07,114.283,
2001-10,61.420,
2002-01,0.087,
2002-04,277.079,
2002-07,-28.775,
2002-10,-44.564,
2003-01,-37.634,
2003-04,175.386,
2003-07,-36.449,
2003-10,-38.483,
2004-01,18.059,
2004-04,-75.539,
2004-07,52.943,
2004-10,10.808,
2005-01,274.597,
2005-04,-14.467,
2005-07,14.000,
2005-10,-63.069,
2006-01,-353.187,
2006-04,-146.200,
2006-07,38.943,
2006-10,4.879,
2007-01,43.795,
2007-04,-14.269,
2007-07,-25.000,
2007-10,-87.082,
2008-01,35.953,
2008-04,-35.821,
2008-07,-6.619,
2008-10,9.530,
2009-01,107.983,
2009-04,158.179,
2009-07,17.437,
2009-10,142.629,
2010-01,22.132,
2010-04,80.000,
2010-07,151.819,
2010-10,-78.167,
2011-01,-121.000,
2011-04,-189.119,
2011-07,-9.429,
2011-10,-173.749,
2012-01,161.935,
2012-04,-21.037,
2012-07,-35.057,
2012-10,-1.690,
2013-01,-5.837,
2013-04,46.936,
2013-07,85.274,
2013-10,260.862,
2014-01,-27.818,Provisional value
2014-04,-201.861,Provisional value
2014-07,82.312,Provisional value
2014-10,-9.921,Provisional value
