"",BBK01.OELK01J,BBK01.OELK01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:10,
2002-01,0.094,
2002-04,0.097,
2002-07,0.099,
2002-10,0.098,
2003-01,0.096,
2003-04,0.101,
2003-07,0.094,
2003-10,0.098,
2004-01,0.092,
2004-04,0.095,
2004-07,0.090,
2004-10,0.094,
2005-01,0.087,
2005-04,0.086,
2005-07,0.088,
2005-10,0.089,
2006-01,0.091,
2006-04,0.094,
2006-07,0.091,
2006-10,0.096,
2007-01,0.102,
2007-04,0.102,
2007-07,0.106,
2007-10,0.103,
2008-01,0.101,
2008-04,0.096,
2008-07,0.096,
2008-10,0.106,
2009-01,0.107,
2009-04,0.110,
2009-07,0.112,
2009-10,0.118,
2010-01,0.123,
2010-04,0.128,
2010-07,0.133,
2010-10,0.145,
2011-01,0.139,
2011-04,0.136,
2011-07,0.139,
2011-10,0.148,
2012-01,0.137,
2012-04,0.201,
2012-07,0.212,
2012-10,0.216,
2013-01,0.231,
2013-04,0.233,
2013-07,0.240,
2013-10,0.240,
2014-01,0.245,
2014-04,0.249,
2014-07,0.259,
