"",BBDL1.M.DE.Y.EMP.EBA101.A0000.A00.D00.0.ABA.A,BBDL1.M.DE.Y.EMP.EBA101.A0000.A00.D00.0.ABA.A_FLAGS
"",Persons working exclusively in low-paid part-time jobs / Germany / Total / Absolute value / Calendar and seasonally adjusted,
unit,Anzahl (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-26 10:19:10,
2000-01,4275,
2000-02,4314,
2000-03,4349,
2000-04,4358,
2000-05,4363,
2000-06,4360,
2000-07,4355,
2000-08,4357,
2000-09,4345,
2000-10,4331,
2000-11,4323,
2000-12,4303,
2001-01,4284,
2001-02,4267,
2001-03,4262,
2001-04,4255,
2001-05,4255,
2001-06,4220,
2001-07,4205,
2001-08,4202,
2001-09,4215,
2001-10,4238,
2001-11,4259,
2001-12,4266,
2002-01,4265,
2002-02,4270,
2002-03,4277,
2002-04,4273,
2002-05,4275,
2002-06,4255,
2002-07,4245,
2002-08,4233,
2002-09,4242,
2002-10,4241,
2002-11,4243,
2002-12,4245,
2003-01,4264,
2003-02,4275,
2003-03,4257,
2003-04,4197,
2003-05,4263,
2003-06,4363,
2003-07,4415,
2003-08,4440,
2003-09,4461,
2003-10,4497,
2003-11,4513,
2003-12,4562,
2004-01,4653,
2004-02,4710,
2004-03,4780,
2004-04,4837,
2004-05,4870,
2004-06,4888,
2004-07,4900,
2004-08,4905,
2004-09,4907,
2004-10,4901,
2004-11,4916,
2004-12,4906,
2005-01,4860,
2005-02,4854,
2005-03,4845,
2005-04,4819,
2005-05,4806,
2005-06,4810,
2005-07,4826,
2005-08,4857,
2005-09,4890,
2005-10,4913,
2005-11,4920,
2005-12,4928,
2006-01,4918,
2006-02,4913,
2006-03,4915,
2006-04,4916,
2006-05,4932,
2006-06,4940,
2006-07,4935,
2006-08,4932,
2006-09,4926,
2006-10,4916,
2006-11,4937,
2006-12,4975,
2007-01,4966,
2007-02,4962,
2007-03,4954,
2007-04,4961,
2007-05,4969,
2007-06,4976,
2007-07,4982,
2007-08,4990,
2007-09,4989,
2007-10,5000,
2007-11,4995,
2007-12,5002,
2008-01,5014,
2008-02,5011,
2008-03,5014,
2008-04,4999,
2008-05,4992,
2008-06,4986,
2008-07,4984,
2008-08,4974,
2008-09,4982,
2008-10,4990,
2008-11,4985,
2008-12,4984,
2009-01,5012,
2009-02,5034,
2009-03,5045,
2009-04,5057,
2009-05,5050,
2009-06,5046,
2009-07,5049,
2009-08,5052,
2009-09,5054,
2009-10,5048,
2009-11,5052,
2009-12,5052,
2010-01,5013,
2010-02,5008,
2010-03,5024,
2010-04,5034,
2010-05,5035,
2010-06,5033,
2010-07,5030,
2010-08,5025,
2010-09,5022,
2010-10,5021,
2010-11,5018,
2010-12,5014,
2011-01,5023,
2011-02,5036,
2011-03,5025,
2011-04,5020,
2011-05,5019,
2011-06,5018,
2011-07,5014,
2011-08,5009,
2011-09,5004,
2011-10,4994,
2011-11,4994,
2011-12,4995,
2012-01,4990,
2012-02,4963,
2012-03,4971,
2012-04,4972,
2012-05,4978,
2012-06,4983,
2012-07,4980,
2012-08,4983,
2012-09,4979,
2012-10,4984,
2012-11,4988,
2012-12,4993,
2013-01,5008,
2013-02,5017,
2013-03,5008,
2013-04,5004,
2013-05,5012,
2013-06,5016,
2013-07,5026,
2013-08,5026,
2013-09,5023,
2013-10,5022,
2013-11,5029,
2013-12,5025,
2014-01,5024,
2014-02,5031,
2014-03,5030,
2014-04,5040,
2014-05,5036,
2014-06,5036,
2014-07,5039,
2014-08,5039,
2014-09,5042,Estimated value
2014-10,5040,Estimated value
2014-11,5020,Estimated value
2014-12,5018,Estimated value
