"",BBK01.OECJ05Q,BBK01.OECJ05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:39,
2002-01,0.059,
2002-04,0.060,
2002-07,0.061,
2002-10,0.061,
2003-01,0.062,
2003-04,0.066,
2003-07,0.074,
2003-10,0.077,
2004-01,0.076,
2004-04,0.075,
2004-07,0.071,
2004-10,0.140,
2005-01,0.118,
2005-04,0.116,
2005-07,0.116,
2005-10,0.180,
2006-01,0.082,
2006-04,0.076,
2006-07,0.074,
2006-10,0.073,
2007-01,0.073,
2007-04,0.071,
2007-07,0.069,
2007-10,0.068,
2008-01,0.062,
2008-04,0.072,
2008-07,0.077,
2008-10,0.076,
2009-01,0.290,
2009-04,0.363,
2009-07,0.389,
2009-10,0.384,
2010-01,0.383,
2010-04,0.383,
2010-07,0.364,
2010-10,0.352,
2011-01,0.274,
2011-04,0.269,
2011-07,0.267,
2011-10,0.258,
2012-01,0.262,
2012-04,0.262,
2012-07,0.281,
2012-10,0.275,
2013-01,0.275,
2013-04,0.250,
2013-07,0.226,
2013-10,0.169,
2014-01,0.168,
2014-04,0.160,
2014-07,0.125,
