"",BBK01.CELF11,BBK01.CELF11_FLAGS
"",long-term loans debtor: Non-financial corporations                         creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:47,
1999-01,-1.0,
1999-04,-2.8,
1999-07,-6.1,
1999-10,-2.3,
2000-01,6.6,
2000-04,3.1,
2000-07,-9.7,
2000-10,13.1,
2001-01,3.3,
2001-04,3.4,
2001-07,-2.0,
2001-10,3.9,
2002-01,15.3,
2002-04,9.4,
2002-07,7.1,
2002-10,-4.2,
2003-01,7.6,
2003-04,2.7,
2003-07,1.5,
2003-10,-2.8,
2004-01,-3.0,
2004-04,-3.8,
2004-07,1.0,
2004-10,-0.3,
2005-01,-24.9,
2005-04,2.0,
2005-07,3.6,
2005-10,-7.6,
2006-01,13.1,
2006-04,1.2,
2006-07,9.3,
2006-10,1.1,
2007-01,-5.2,
2007-04,-3.9,
2007-07,-3.1,
2007-10,8.8,
2008-01,0.4,
2008-04,-1.0,
2008-07,-3.3,
2008-10,5.2,
2009-01,-0.3,
2009-04,-1.6,
2009-07,-0.3,
2009-10,-0.3,
2010-01,5.2,
2010-04,3.6,
2010-07,3.6,
2010-10,5.3,
2011-01,-5.0,
2011-04,-4.1,
2011-07,-0.1,
2011-10,3.7,
2012-01,2.0,
2012-04,-0.7,
2012-07,0.7,
2012-10,0.8,
2013-01,-4.6,
2013-04,-7.0,
2013-07,-0.3,
2013-10,-12.1,
2014-01,-0.1,
2014-04,-0.3,
2014-07,-0.5,
