"",BBK01.OEAB14G,BBK01.OEAB14G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:27,
2002-01,8.661,
2002-04,8.800,
2002-07,8.503,
2002-10,8.423,
2003-01,8.079,
2003-04,7.928,
2003-07,7.880,
2003-10,7.699,
2004-01,7.445,
2004-04,7.448,
2004-07,7.351,
2004-10,7.289,
2005-01,6.908,
2005-04,6.758,
2005-07,6.397,
2005-10,6.597,
2006-01,6.540,
2006-04,6.595,
2006-07,6.482,
2006-10,6.222,
2007-01,6.074,
2007-04,6.010,
2007-07,5.858,
2007-10,5.923,
2008-01,5.885,
2008-04,6.012,
2008-07,5.888,
2008-10,6.045,
2009-01,6.185,
2009-04,6.150,
2009-07,6.018,
2009-10,5.812,
2010-01,5.956,
2010-04,6.005,
2010-07,5.786,
2010-10,5.555,
2011-01,5.543,
2011-04,5.516,
2011-07,5.386,
2011-10,5.200,
2012-01,5.224,
2012-04,5.265,
2012-07,5.184,
2012-10,5.066,
2013-01,5.076,
2013-04,5.005,
2013-07,4.847,
2013-10,4.469,
2014-01,4.480,
2014-04,4.480,
2014-07,4.353,
