"",BBFB1.Q.N.DE.AT.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.AT.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:21,
1991-01,-0.699,
1991-04,0.275,
1991-07,-1.638,
1991-10,1.652,
1992-01,0.860,
1992-04,0.165,
1992-07,-39.900,
1992-10,5.695,
1993-01,-0.321,
1993-04,-24.971,
1993-07,-15.695,
1993-10,6.352,
1994-01,-23.109,
1994-04,0.029,
1994-07,-7.889,
1994-10,1.172,
1995-01,74.038,
1995-04,-11.760,
1995-07,7.872,
1995-10,3.051,
1996-01,6.957,
1996-04,5.011,
1996-07,47.812,
1996-10,-1.683,
1997-01,74.373,
1997-04,89.996,
1997-07,378.222,
1997-10,174.526,
1998-01,74.071,
1998-04,28.109,
1998-07,-52.454,
1998-10,93.924,
1999-01,74.314,
1999-04,81.354,
1999-07,11.436,
1999-10,83.832,
2000-01,74.857,
2000-04,-6.370,
2000-07,-20.242,
2000-10,-30.940,
2001-01,364.451,
2001-04,65.537,
2001-07,-3.543,
2001-10,27.356,
2002-01,394.167,
2002-04,-0.457,
2002-07,165.435,
2002-10,69.039,
2003-01,230.655,
2003-04,25.234,
2003-07,36.523,
2003-10,238.333,
2004-01,194.057,
2004-04,1.463,
2004-07,-27.278,
2004-10,144.254,
2005-01,253.724,
2005-04,93.907,
2005-07,-27.661,
2005-10,-21.708,
2006-01,341.937,
2006-04,23.506,
2006-07,38.757,
2006-10,154.326,
2007-01,328.071,
2007-04,256.554,
2007-07,-479.454,
2007-10,295.379,
2008-01,447.085,
2008-04,-478.410,
2008-07,424.247,
2008-10,1078.232,
2009-01,116.233,
2009-04,-395.690,
2009-07,29.372,
2009-10,206.576,
2010-01,155.919,
2010-04,-11.784,
2010-07,188.294,
2010-10,193.376,
2011-01,-319.866,
2011-04,-239.529,
2011-07,-25.466,
2011-10,-51.093,
2012-01,176.729,
2012-04,-31.001,
2012-07,142.457,
2012-10,95.889,
2013-01,568.234,
2013-04,35.849,
2013-07,57.360,
2013-10,-11.655,
2014-01,332.973,Provisional value
2014-04,24.076,Provisional value
2014-07,-6.063,Provisional value
2014-10,-26.085,Provisional value
