"",BBFN1.M.DE.N.1.L.W00200.S1P.F0.L.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W00200.S1P.F0.L.N000.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign non-banks arising from financial operations / Total / Industrial countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:06:46,
1971-12,4.132,
1972-01,.,No value available
1972-02,.,No value available
1972-03,.,No value available
1972-04,.,No value available
1972-05,.,No value available
1972-06,.,No value available
1972-07,.,No value available
1972-08,.,No value available
1972-09,.,No value available
1972-10,.,No value available
1972-11,.,No value available
1972-12,4.670,
1973-01,.,No value available
1973-02,.,No value available
1973-03,.,No value available
1973-04,.,No value available
1973-05,.,No value available
1973-06,.,No value available
1973-07,.,No value available
1973-08,.,No value available
1973-09,.,No value available
1973-10,.,No value available
1973-11,.,No value available
1973-12,4.646,
1974-01,.,No value available
1974-02,.,No value available
1974-03,.,No value available
1974-04,.,No value available
1974-05,.,No value available
1974-06,.,No value available
1974-07,.,No value available
1974-08,.,No value available
1974-09,.,No value available
1974-10,.,No value available
1974-11,.,No value available
1974-12,4.751,
1975-01,.,No value available
1975-02,.,No value available
1975-03,.,No value available
1975-04,.,No value available
1975-05,.,No value available
1975-06,.,No value available
1975-07,.,No value available
1975-08,.,No value available
1975-09,.,No value available
1975-10,.,No value available
1975-11,.,No value available
1975-12,4.895,
1976-01,.,No value available
1976-02,.,No value available
1976-03,.,No value available
1976-04,.,No value available
1976-05,.,No value available
1976-06,.,No value available
1976-07,.,No value available
1976-08,.,No value available
1976-09,.,No value available
1976-10,.,No value available
1976-11,.,No value available
1976-12,5.019,
1977-01,.,No value available
1977-02,.,No value available
1977-03,.,No value available
1977-04,.,No value available
1977-05,.,No value available
1977-06,.,No value available
1977-07,.,No value available
1977-08,.,No value available
1977-09,.,No value available
1977-10,.,No value available
1977-11,.,No value available
1977-12,5.609,
1978-01,.,No value available
1978-02,.,No value available
1978-03,.,No value available
1978-04,.,No value available
1978-05,.,No value available
1978-06,.,No value available
1978-07,.,No value available
1978-08,.,No value available
1978-09,.,No value available
1978-10,.,No value available
1978-11,.,No value available
1978-12,6.030,
1979-01,.,No value available
1979-02,.,No value available
1979-03,.,No value available
1979-04,.,No value available
1979-05,.,No value available
1979-06,.,No value available
1979-07,.,No value available
1979-08,.,No value available
1979-09,.,No value available
1979-10,.,No value available
1979-11,.,No value available
1979-12,6.289,
1980-01,.,No value available
1980-02,.,No value available
1980-03,.,No value available
1980-04,.,No value available
1980-05,.,No value available
1980-06,.,No value available
1980-07,.,No value available
1980-08,.,No value available
1980-09,.,No value available
1980-10,.,No value available
1980-11,.,No value available
1980-12,6.576,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,7.571,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,8.073,
1982-10,8.053,
1982-11,8.065,
1982-12,7.827,
1983-01,7.828,
1983-02,7.788,
1983-03,7.968,
1983-04,7.952,
1983-05,8.101,
1983-06,8.135,
1983-07,8.482,
1983-08,8.458,
1983-09,8.396,
1983-10,8.426,
1983-11,8.410,
1983-12,8.580,
1984-01,8.877,
1984-02,8.863,
1984-03,8.815,
1984-04,8.840,
1984-05,8.894,
1984-06,8.609,
1984-07,8.615,
1984-08,8.731,
1984-09,8.825,
1984-10,8.408,
1984-11,8.421,
1984-12,8.281,
1985-01,8.427,
1985-02,8.972,
1985-03,8.940,
1985-04,8.902,
1985-05,8.916,
1985-06,9.210,
1985-07,9.149,
1985-08,9.190,
1985-09,9.115,
1985-10,9.148,
1985-11,9.116,
1985-12,9.032,
1986-01,9.073,
1986-02,9.283,
1986-03,9.421,
1986-04,9.854,
1986-05,9.924,
1986-06,10.106,
1986-07,10.459,
1986-08,10.771,
1986-09,10.849,
1986-10,10.924,
1986-11,11.001,
1986-12,10.969,
1987-01,11.276,
1987-02,11.565,
1987-03,11.600,
1987-04,11.674,
1987-05,11.714,
1987-06,12.166,
1987-07,12.328,
1987-08,12.383,
1987-09,12.462,
1987-10,12.674,
1987-11,12.820,
1987-12,12.767,
1988-01,12.775,
1988-02,12.980,
1988-03,13.147,
1988-04,13.705,
1988-05,14.025,
1988-06,14.409,
1988-07,14.570,
1988-08,14.569,
1988-09,14.843,
1988-10,14.878,
1988-11,15.210,
1988-12,16.058,
1989-01,16.886,
1989-02,17.707,
1989-03,17.766,
1989-04,18.670,
1989-05,18.828,
1989-06,19.041,
1989-07,19.189,
1989-08,19.243,
1989-09,19.131,
1989-10,19.207,
1989-11,19.041,
1989-12,19.219,
1990-01,18.873,
1990-02,18.704,
1990-03,18.907,
1990-04,19.521,
1990-05,19.774,
1990-06,19.639,
1990-07,19.946,
1990-08,19.812,
1990-09,20.024,
1990-10,20.038,
1990-11,20.141,
1990-12,19.996,
1991-01,20.045,
1991-02,20.700,
1991-03,21.112,
1991-04,21.275,
1991-05,21.679,
1991-06,22.073,
1991-07,22.169,
1991-08,22.297,
1991-09,22.214,
1991-10,22.500,
1991-11,22.563,
1991-12,23.161,
1992-01,24.030,
1992-02,24.059,
1992-03,24.490,
1992-04,24.727,
1992-05,24.988,
1992-06,25.604,
1992-07,25.714,
1992-08,25.914,
1992-09,26.243,
1992-10,26.640,
1992-11,26.832,
1992-12,27.576,
1993-01,28.006,
1993-02,29.034,
1993-03,28.933,
1993-04,28.964,
1993-05,29.284,
1993-06,29.544,
1993-07,29.677,
1993-08,29.805,
1993-09,29.407,
1993-10,29.293,
1993-11,29.401,
1993-12,29.530,
1994-01,29.734,
1994-02,29.914,
1994-03,30.446,
1994-04,30.736,
1994-05,31.026,
1994-06,31.206,
1994-07,31.698,
1994-08,32.072,
1994-09,32.472,
1994-10,32.050,
1994-11,32.127,
1994-12,32.592,
1995-01,30.368,
1995-02,30.162,
1995-03,30.086,
1995-04,30.367,
1995-05,30.665,
1995-06,31.830,
1995-07,32.549,
1995-08,32.887,
1995-09,32.930,
1995-10,33.339,
1995-11,33.192,
1995-12,32.405,
1996-01,32.274,
1996-02,32.516,
1996-03,32.437,
1996-04,32.571,
1996-05,32.423,
1996-06,32.248,
1996-07,32.806,
1996-08,32.722,
1996-09,33.459,
1996-10,33.601,
1996-11,33.623,
1996-12,32.802,
1997-01,33.247,
1997-02,33.614,
1997-03,33.790,
1997-04,33.284,
1997-05,33.440,
1997-06,33.658,
1997-07,34.685,
1997-08,34.995,
1997-09,36.071,
1997-10,35.975,
1997-11,36.028,
1997-12,37.213,
1998-01,38.295,
1998-02,40.080,
1998-03,40.728,
1998-04,41.540,
1998-05,42.191,
1998-06,43.247,
1998-07,44.866,
1998-08,45.136,
1998-09,45.318,
1998-10,47.314,
1998-11,47.082,
1998-12,52.466,
1999-01,53.531,
1999-02,53.880,
1999-03,53.982,
1999-04,54.183,
1999-05,58.656,
1999-06,60.368,
1999-07,63.502,
1999-08,65.377,
1999-09,67.544,
1999-10,71.446,
1999-11,74.103,
1999-12,75.478,
2000-01,80.731,
2000-02,82.148,
2000-03,82.307,
2000-04,82.921,
2000-05,84.022,
2000-06,85.969,
2000-07,101.682,
2000-08,101.618,
2000-09,103.062,
2000-10,102.989,
2000-11,104.841,
2000-12,145.865,
2001-01,150.221,
2001-02,150.207,
2001-03,151.603,
2001-04,152.654,
2001-05,154.831,
2001-06,156.404,
2001-07,165.021,
2001-08,171.934,
2001-09,176.580,
2001-10,178.374,
2001-11,181.834,
2001-12,183.160,
2002-01,194.903,
2002-02,197.914,
2002-03,188.580,
2002-04,200.600,
2002-05,221.621,
2002-06,217.179,
2002-07,218.767,
2002-08,220.760,
2002-09,223.320,
2002-10,226.056,
2002-11,231.580,
2002-12,234.471,
2003-01,230.784,
2003-02,233.484,
2003-03,235.692,
2003-04,239.574,
2003-05,239.597,
2003-06,242.604,
2003-07,242.748,
2003-08,245.415,
2003-09,246.272,
2003-10,246.442,
2003-11,247.073,
2003-12,231.982,
2004-01,229.647,
2004-02,205.462,
2004-03,204.399,
2004-04,207.652,
2004-05,210.947,
2004-06,214.534,
2004-07,213.458,
2004-08,212.895,
2004-09,210.624,
2004-10,207.496,
2004-11,202.273,
2004-12,200.090,
2005-01,204.780,
2005-02,207.072,
2005-03,206.594,
2005-04,207.002,
2005-05,209.314,
2005-06,206.909,
2005-07,201.908,
2005-08,201.454,
2005-09,201.535,
2005-10,204.419,
2005-11,206.879,
2005-12,205.590,
2006-01,209.264,
2006-02,211.394,
2006-03,216.003,
2006-04,215.560,
2006-05,215.386,
2006-06,215.720,
2006-07,216.352,
2006-08,214.474,
2006-09,212.074,
2006-10,211.915,
2006-11,212.118,
2006-12,207.582,
2007-01,208.099,
2007-02,205.485,
2007-03,204.086,
2007-04,205.500,
2007-05,202.926,
2007-06,202.189,
2007-07,201.836,
2007-08,202.621,
2007-09,200.982,
2007-10,202.565,
2007-11,199.490,
2007-12,190.921,
2008-01,192.641,
2008-02,191.641,
2008-03,191.362,
2008-04,196.119,
2008-05,200.409,
2008-06,197.176,
2008-07,198.284,
2008-08,199.894,
2008-09,207.088,
2008-10,211.384,
2008-11,214.691,
2008-12,212.728,
2009-01,221.217,
2009-02,231.016,
2009-03,231.534,
2009-04,234.043,
2009-05,238.385,
2009-06,238.933,
2009-07,243.529,
2009-08,244.308,
2009-09,240.936,
2009-10,242.697,
2009-11,242.914,
2009-12,246.526,
2010-01,244.427,
2010-02,245.650,
2010-03,250.498,
2010-04,252.629,
2010-05,252.268,
2010-06,253.008,
2010-07,255.547,
2010-08,256.646,
2010-09,256.521,
2010-10,256.200,
2010-11,258.001,
2010-12,266.301,
2011-01,267.685,
2011-02,267.982,
2011-03,272.827,
2011-04,275.610,
2011-05,278.822,
2011-06,278.604,
2011-07,281.322,
2011-08,281.844,
2011-09,281.707,
2011-10,282.710,
2011-11,276.866,
2011-12,276.730,
2012-01,280.333,
2012-02,280.767,
2012-03,285.420,
2012-04,289.818,
2012-05,292.666,
2012-06,297.982,
2012-07,297.409,
2012-08,300.872,
2012-09,301.885,
2012-10,298.614,
2012-11,302.485,
2012-12,301.098,
2013-01,304.610,
2013-02,303.187,
2013-03,307.857,
2013-04,323.031,
2013-05,323.740,
2013-06,324.503,
2013-07,322.186,
2013-08,324.126,
2013-09,327.182,
2013-10,337.511,
2013-11,334.495,
2013-12,336.495,
2014-01,335.201,
2014-02,337.689,
2014-03,341.810,
2014-04,340.750,
2014-05,344.666,
2014-06,348.685,
2014-07,349.196,
2014-08,348.655,
2014-09,346.357,
2014-10,347.442,
2014-11,348.823,
2014-12,346.061,
"","General: Up to 1994, including the former Yugoslavia and South Africa; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
