"",BBDA1.M.DE.N.IM.S.A.IE.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.IE.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Ireland / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:11,
1990-07,223502,
1990-08,156444,
1990-09,171478,
1990-10,231028,
1990-11,242110,
1990-12,212328,
1991-01,238117,
1991-02,193315,
1991-03,218188,
1991-04,223955,
1991-05,215912,
1991-06,248172,
1991-07,239218,
1991-08,202282,
1991-09,204128,
1991-10,261957,
1991-11,253490,
1991-12,249770,
1992-01,234220,
1992-02,219930,
1992-03,256963,
1992-04,296826,
1992-05,261472,
1992-06,258951,
1992-07,257527,
1992-08,233213,
1992-09,227291,
1992-10,304128,
1992-11,276392,
1992-12,322545,
1993-01,220465,
1993-02,255740,
1993-03,239902,
1993-04,284285,
1993-05,270785,
1993-06,197643,
1993-07,270667,
1993-08,319917,
1993-09,253346,
1993-10,241994,
1993-11,245246,
1993-12,244145,
1994-01,185810,
1994-02,288291,
1994-03,292587,
1994-04,296761,
1994-05,333889,
1994-06,262375,
1994-07,326886,
1994-08,289992,
1994-09,305059,
1994-10,309238,
1994-11,297369,
1994-12,321741,
1995-01,287751,
1995-02,347530,
1995-03,371950,
1995-04,434886,
1995-05,346008,
1995-06,350126,
1995-07,358163,
1995-08,282011,
1995-09,370011,
1995-10,376756,
1995-11,371953,
1995-12,416992,
1996-01,383623,
1996-02,367278,
1996-03,356120,
1996-04,375737,
1996-05,346825,
1996-06,335313,
1996-07,432878,
1996-08,336515,
1996-09,334302,
1996-10,346573,
1996-11,331845,
1996-12,305233,
1997-01,363971,
1997-02,351347,
1997-03,432180,
1997-04,342817,
1997-05,352836,
1997-06,393756,
1997-07,438567,
1997-08,332877,
1997-09,398851,
1997-10,340554,
1997-11,389013,
1997-12,393812,
1998-01,535491,
1998-02,480315,
1998-03,496470,
1998-04,681105,
1998-05,886250,
1998-06,1028948,
1998-07,691175,
1998-08,695309,
1998-09,387458,
1998-10,429865,
1998-11,429747,
1998-12,503694,
1999-01,429865,
1999-02,804912,
1999-03,989724,
1999-04,435357,
1999-05,875580,
1999-06,563310,
1999-07,1641935,
1999-08,1836807,
1999-09,1041179,
1999-10,961845,
1999-11,754770,
1999-12,1020416,
2000-01,474551,
2000-02,615723,
2000-03,707572,
2000-04,538338,
2000-05,812588,
2000-06,631117,
2000-07,524489,
2000-08,1937691,
2000-09,876849,
2000-10,936317,
2000-11,1043421,
2000-12,1650452,
2001-01,785548,
2001-02,1144846,
2001-03,745159,
2001-04,1554679,
2001-05,1333166,
2001-06,1655741,
2001-07,1542426,
2001-08,1674198,
2001-09,1547024,
2001-10,1402628,
2001-11,1394956,
2001-12,941083,
2002-01,668749,
2002-02,1418848,
2002-03,955006,
2002-04,1253908,
2002-05,914830,
2002-06,1077788,
2002-07,993364,
2002-08,1463073,
2002-09,1550792,
2002-10,1028761,
2002-11,804180,
2002-12,1367489,
2003-01,1052459,
2003-02,1072704,
2003-03,1007480,
2003-04,1083333,
2003-05,1037833,
2003-06,1134673,
2003-07,1186350,
2003-08,983708,
2003-09,1444998,
2003-10,1174942,
2003-11,1398747,
2003-12,1049787,
2004-01,1313196,
2004-02,1324750,
2004-03,1173924,
2004-04,1145806,
2004-05,1306931,
2004-06,1382567,
2004-07,1124799,
2004-08,1187952,
