"",BBK01.OEXO02J,BBK01.OEXO02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:21,
2002-01,0.136,
2002-04,0.114,
2002-07,0.103,
2002-10,0.091,
2003-01,0.123,
2003-04,0.097,
2003-07,0.109,
2003-10,0.090,
2004-01,0.105,
2004-04,0.076,
2004-07,0.065,
2004-10,0.075,
2005-01,0.093,
2005-04,0.078,
2005-07,0.072,
2005-10,0.081,
2006-01,0.109,
2006-04,0.089,
2006-07,0.091,
2006-10,0.090,
2007-01,0.142,
2007-04,0.112,
2007-07,0.137,
2007-10,0.127,
2008-01,0.132,
2008-04,0.114,
2008-07,0.123,
2008-10,0.221,
2009-01,0.211,
2009-04,0.113,
2009-07,0.136,
2009-10,0.110,
2010-01,0.080,
2010-04,0.083,
2010-07,0.062,
2010-10,0.132,
2011-01,0.145,
2011-04,0.102,
2011-07,0.078,
2011-10,0.092,
2012-01,0.085,
2012-04,0.072,
2012-07,0.071,
2012-10,0.091,
2013-01,0.062,
2013-04,0.051,
2013-07,0.049,
2013-10,0.052,
2014-01,0.055,
2014-04,0.041,
2014-07,0.063,
