"",BBK01.OEBI03O,BBK01.OEBI03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:27,
2002-01,-22.141,
2002-04,-20.019,
2002-07,-19.639,
2002-10,-21.216,
2003-01,-17.652,
2003-04,-18.178,
2003-07,-17.627,
2003-10,-15.566,
2004-01,-15.341,
2004-04,-15.249,
2004-07,-14.361,
2004-10,-13.860,
2005-01,2.374,
2005-04,2.461,
2005-07,2.478,
2005-10,2.329,
2006-01,2.386,
2006-04,2.274,
2006-07,2.704,
2006-10,2.914,
2007-01,2.741,
2007-04,2.849,
2007-07,3.353,
2007-10,3.706,
2008-01,3.797,
2008-04,3.844,
2008-07,4.461,
2008-10,4.510,
2009-01,4.467,
2009-04,4.230,
2009-07,4.017,
2009-10,3.729,
2010-01,3.130,
2010-04,3.195,
2010-07,2.826,
2010-10,2.623,
2011-01,2.641,
2011-04,2.760,
2011-07,2.595,
2011-10,2.495,
2012-01,2.545,
2012-04,2.533,
2012-07,2.771,
2012-10,2.660,
2013-01,2.330,
2013-04,2.679,
2013-07,2.570,
2013-10,2.729,
2014-01,2.527,
2014-04,2.350,
2014-07,2.294,
