"",BBK01.OEXJ01V,BBK01.OEXJ01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:28,
2002-01,1.107,
2002-04,1.130,
2002-07,1.174,
2002-10,1.198,
2003-01,1.246,
2003-04,1.229,
2003-07,1.315,
2003-10,1.267,
2004-01,1.257,
2004-04,1.179,
2004-07,1.225,
2004-10,1.411,
2005-01,1.267,
2005-04,1.392,
2005-07,1.448,
2005-10,1.441,
2006-01,1.375,
2006-04,1.494,
2006-07,1.499,
2006-10,1.489,
2007-01,1.562,
2007-04,1.655,
2007-07,1.668,
2007-10,1.746,
2008-01,1.775,
2008-04,1.821,
2008-07,1.835,
2008-10,1.793,
2009-01,2.033,
2009-04,2.149,
2009-07,2.292,
2009-10,2.240,
2010-01,2.246,
2010-04,2.214,
2010-07,2.259,
2010-10,2.333,
2011-01,2.229,
2011-04,2.274,
2011-07,2.441,
2011-10,2.330,
2012-01,2.421,
2012-04,2.512,
2012-07,2.617,
2012-10,2.792,
2013-01,2.677,
2013-04,2.742,
2013-07,2.778,
2013-10,2.771,
2014-01,2.873,
2014-04,3.104,
2014-07,3.169,
