"",BBFN1.M.DE.N.1.L.IS.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IS.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:16:26,
2006-03,0.066,
2006-04,0.064,
2006-05,0.063,
2006-06,0.061,
2006-07,0.074,
2006-08,0.074,
2006-09,0.071,
2006-10,0.068,
2006-11,0.045,
2006-12,0.053,
2007-01,0.036,
2007-02,0.032,
2007-03,0.033,
2007-04,0.033,
2007-05,0.033,
2007-06,0.059,
2007-07,0.047,
2007-08,0.112,
2007-09,0.101,
2007-10,0.117,
2007-11,0.097,
2007-12,0.089,
2008-01,0.100,
2008-02,0.093,
2008-03,0.095,
2008-04,0.060,
2008-05,0.071,
2008-06,0.069,
2008-07,0.068,
2008-08,0.053,
2008-09,0.057,
2008-10,0.054,
2008-11,0.055,
2008-12,0.054,
2009-01,0.051,
2009-02,0.050,
2009-03,0.353,
2009-04,0.052,
2009-05,0.053,
2009-06,0.054,
2009-07,0.054,
2009-08,0.054,
2009-09,0.055,
2009-10,0.058,
2009-11,0.057,
2009-12,0.058,
2010-01,0.055,
2010-02,0.057,
2010-03,0.059,
2010-04,0.059,
2010-05,0.082,
2010-06,0.083,
2010-07,0.083,
2010-08,0.083,
2010-09,0.084,
2010-10,0.096,
2010-11,0.095,
2010-12,0.080,
2011-01,0.054,
2011-02,0.050,
2011-03,0.049,
2011-04,0.049,
2011-05,0.050,
2011-06,0.053,
2011-07,0.052,
2011-08,0.053,
2011-09,0.053,
2011-10,0.058,
2011-11,0.058,
2011-12,0.056,
2012-01,0.057,
2012-02,0.060,
2012-03,0.061,
2012-04,0.062,
2012-05,0.052,
2012-06,0.045,
2012-07,0.040,
2012-08,0.037,
2012-09,0.041,
2012-10,0.040,
2012-11,0.039,
2012-12,0.041,
2013-01,0.040,
2013-02,0.035,
2013-03,0.035,
2013-04,0.023,
2013-05,0.022,
2013-06,0.024,
2013-07,0.024,
2013-08,0.023,
2013-09,0.021,
2013-10,0.019,
2013-11,0.019,
2013-12,0.019,
2014-01,0.031,
2014-02,0.032,
2014-03,0.031,
2014-04,0.031,
2014-05,0.032,
2014-06,0.032,
2014-07,0.032,
2014-08,0.032,
2014-09,0.032,
2014-10,0.033,
2014-11,0.033,
2014-12,0.033,
