"",BBK01.OEHJ01J,BBK01.OEHJ01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:14,
2002-01,1.110,
2002-04,1.134,
2002-07,1.138,
2002-10,1.216,
2003-01,1.194,
2003-04,1.200,
2003-07,1.220,
2003-10,1.286,
2004-01,1.262,
2004-04,1.299,
2004-07,1.251,
2004-10,1.428,
2005-01,1.438,
2005-04,1.495,
2005-07,1.554,
2005-10,1.700,
2006-01,1.731,
2006-04,1.735,
2006-07,1.781,
2006-10,1.924,
2007-01,1.872,
2007-04,1.922,
2007-07,1.982,
2007-10,2.239,
2008-01,1.982,
2008-04,2.110,
2008-07,2.064,
2008-10,2.130,
2009-01,2.118,
2009-04,2.138,
2009-07,2.301,
2009-10,2.462,
2010-01,2.432,
2010-04,2.215,
2010-07,1.963,
2010-10,2.122,
2011-01,2.169,
2011-04,2.171,
2011-07,2.266,
2011-10,2.338,
2012-01,2.378,
2012-04,2.373,
2012-07,2.331,
2012-10,2.448,
2013-01,2.537,
2013-04,2.804,
2013-07,2.663,
2013-10,2.617,
2014-01,2.699,
2014-04,2.557,
2014-07,2.526,
