"",BBFB1.M.N.DE.W1.S1.S1.T.C.D42.P.F51._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.D42.P.F51._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Portfolio investment / Dividends on shares / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:11,
1991-01,108.613,
1991-02,100.211,
1991-03,228.492,
1991-04,97.153,
1991-05,112.464,
1991-06,234.409,
1991-07,117.780,
1991-08,98.160,
1991-09,223.738,
1991-10,95.718,
1991-11,106.855,
1991-12,232.245,
1992-01,92.210,
1992-02,86.599,
1992-03,220.775,
1992-04,110.132,
1992-05,110.504,
1992-06,235.674,
1992-07,119.644,
1992-08,112.655,
1992-09,239.813,
1992-10,106.078,
1992-11,112.370,
1992-12,266.704,
1993-01,131.502,
1993-02,119.149,
1993-03,250.552,
1993-04,118.748,
1993-05,114.529,
1993-06,255.029,
1993-07,121.141,
1993-08,126.958,
1993-09,222.106,
1993-10,110.806,
1993-11,111.361,
1993-12,255.271,
1994-01,149.889,
1994-02,119.080,
1994-03,287.795,
1994-04,118.374,
1994-05,170.292,
1994-06,178.071,
1994-07,177.683,
1994-08,204.388,
1994-09,270.520,
1994-10,76.092,
1994-11,101.429,
1994-12,214.035,
1995-01,123.290,
1995-02,100.484,
1995-03,258.645,
1995-04,103.498,
1995-05,120.476,
1995-06,286.744,
1995-07,122.476,
1995-08,136.032,
1995-09,235.427,
1995-10,78.052,
1995-11,96.433,
1995-12,260.187,
1996-01,130.558,
1996-02,136.882,
1996-03,93.933,
1996-04,105.256,
1996-05,157.985,
1996-06,143.600,
1996-07,165.328,
1996-08,160.391,
1996-09,96.064,
1996-10,140.653,
1996-11,131.222,
1996-12,117.158,
1997-01,124.644,
1997-02,232.737,
1997-03,118.221,
1997-04,120.645,
1997-05,196.387,
1997-06,163.770,
1997-07,229.485,
1997-08,173.322,
1997-09,139.353,
1997-10,221.277,
1997-11,155.598,
1997-12,223.131,
1998-01,142.719,
1998-02,192.528,
1998-03,178.986,
1998-04,277.217,
1998-05,300.058,
1998-06,467.076,
1998-07,411.138,
1998-08,236.696,
1998-09,199.603,
1998-10,219.217,
1998-11,224.781,
1998-12,219.454,
1999-01,278.735,
1999-02,274.848,
1999-03,262.879,
1999-04,336.374,
1999-05,574.504,
1999-06,806.348,
1999-07,634.399,
1999-08,392.664,
1999-09,322.510,
1999-10,317.075,
1999-11,296.278,
1999-12,267.786,
2000-01,570.796,
2000-02,608.598,
2000-03,579.270,
2000-04,718.031,
2000-05,1056.435,
2000-06,926.009,
2000-07,1345.237,
2000-08,747.984,
2000-09,460.157,
2000-10,823.367,
2000-11,586.708,
2000-12,660.277,
2001-01,698.845,
2001-02,707.675,
2001-03,648.407,
2001-04,1048.077,
2001-05,1396.820,
2001-06,1345.568,
2001-07,791.770,
2001-08,625.792,
2001-09,401.817,
2001-10,697.620,
2001-11,707.624,
2001-12,457.138,
2002-01,752.369,
2002-02,761.150,
2002-03,752.635,
2002-04,775.148,
2002-05,1176.564,
2002-06,982.610,
2002-07,770.306,
2002-08,617.721,
2002-09,581.106,
2002-10,442.281,
2002-11,518.026,
2002-12,565.999,
2003-01,723.912,
2003-02,390.390,
2003-03,590.719,
2003-04,730.472,
2003-05,761.335,
2003-06,681.933,
2003-07,624.642,
2003-08,439.798,
2003-09,513.457,
2003-10,463.041,
2003-11,567.787,
2003-12,566.002,
2004-01,636.661,
2004-02,564.874,
2004-03,563.670,
2004-04,958.148,
2004-05,1232.879,
2004-06,1625.202,
2004-07,557.674,
2004-08,597.315,
2004-09,771.299,
2004-10,270.616,
2004-11,937.521,
2004-12,702.765,
2005-01,702.141,
2005-02,596.598,
2005-03,838.151,
2005-04,1036.202,
2005-05,1244.482,
2005-06,1145.979,
2005-07,552.050,
2005-08,581.083,
2005-09,695.159,
2005-10,691.670,
2005-11,647.510,
2005-12,600.133,
2006-01,912.171,
2006-02,824.304,
2006-03,962.723,
2006-04,1208.925,
2006-05,1954.583,
2006-06,1442.789,
2006-07,568.947,
2006-08,665.179,
2006-09,518.698,
2006-10,584.401,
2006-11,606.807,
2006-12,659.842,
2007-01,993.782,
2007-02,977.151,
2007-03,1111.630,
2007-04,1370.973,
2007-05,2504.348,
2007-06,1107.726,
2007-07,573.889,
2007-08,549.773,
2007-09,486.469,
