"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.U3.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.U3.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / EU member states not belonging to the Euro area,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:15,
2009-09,8849,
2009-10,8894,
2009-11,8912,
2009-12,9468,
2010-01,9688,
2010-02,9821,
2010-03,10379,
2010-04,10158,
2010-05,9539,
2010-06,9640,
2010-07,10009,
2010-08,9673,
2010-09,10080,
2010-10,10351,
2010-11,10603,
2010-12,11329,
2011-01,11204,
2011-02,11518,
2011-03,11081,
2011-04,11271,
2011-05,11246,
2011-06,10532,
2011-07,10595,
2011-08,9191,
2011-09,8777,
2011-10,9508,
2011-11,9209,
2011-12,9612,
2012-01,10065,
2012-02,10260,
2012-03,10015,
2012-04,10196,
2012-05,9559,
2012-06,9931,
2012-07,10567,
2012-08,10487,
2012-09,10561,
2012-10,10491,
2012-11,10405,
2012-12,10680,
2013-01,11089,
2013-02,11369,
2013-03,11759,
2013-04,11758,
2013-05,11805,
2013-06,11172,
2013-07,11754,
2013-08,11547,
2013-09,12085,
2013-10,12532,
2013-11,12738,
2013-12,12897,
2014-01,12564,
2014-02,13097,
2014-03,12721,
2014-04,12984,
2014-05,13401,
2014-06,13402,
2014-07,13419,
2014-08,13583,
2014-09,13561,
2014-10,13485,
2014-11,13780,
