"",BBK01.OEAG04J,BBK01.OEAG04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:18,
2002-01,0.063,
2002-04,0.057,
2002-07,0.223,
2002-10,0.229,
2003-01,0.203,
2003-04,0.198,
2003-07,0.197,
2003-10,0.163,
2004-01,0.158,
2004-04,0.148,
2004-07,0.143,
2004-10,0.138,
2005-01,0.445,
2005-04,0.440,
2005-07,0.468,
2005-10,0.454,
2006-01,0.450,
2006-04,0.445,
2006-07,0.454,
2006-10,0.312,
2007-01,0.217,
2007-04,0.206,
2007-07,0.202,
2007-10,0.071,
2008-01,0.150,
2008-04,0.069,
2008-07,0.043,
2008-10,0.047,
2009-01,0.046,
2009-04,0.056,
2009-07,0.053,
2009-10,0.087,
2010-01,0.070,
2010-04,0.129,
2010-07,0.107,
2010-10,0.102,
2011-01,0.074,
2011-04,0.108,
2011-07,0.136,
2011-10,0.091,
2012-01,0.085,
2012-04,0.131,
2012-07,0.150,
2012-10,0.102,
2013-01,0.162,
2013-04,0.161,
2013-07,0.100,
2013-10,0.116,
2014-01,0.107,
2014-04,0.144,
2014-07,0.129,
