"",BBK01.OEAH47N,BBK01.OEAH47N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:29,
2002-01,0.172,
2002-04,0.167,
2002-07,0.166,
2002-10,0.177,
2003-01,0.176,
2003-04,0.193,
2003-07,0.176,
2003-10,0.163,
2004-01,0.162,
2004-04,0.158,
2004-07,0.169,
2004-10,0.123,
2005-01,0.135,
2005-04,0.135,
2005-07,0.132,
2005-10,0.134,
2006-01,0.149,
2006-04,0.154,
2006-07,0.161,
2006-10,0.166,
2007-01,0.170,
2007-04,0.183,
2007-07,0.200,
2007-10,0.337,
2008-01,0.441,
2008-04,0.450,
2008-07,0.486,
2008-10,0.619,
2009-01,0.619,
2009-04,0.769,
2009-07,0.769,
2009-10,0.757,
2010-01,0.710,
2010-04,0.711,
2010-07,0.706,
2010-10,0.775,
2011-01,0.785,
2011-04,0.835,
2011-07,0.911,
2011-10,0.934,
2012-01,1.065,
2012-04,1.088,
2012-07,1.125,
2012-10,1.078,
2013-01,1.162,
2013-04,1.229,
2013-07,1.192,
2013-10,1.495,
2014-01,1.417,
2014-04,1.434,
2014-07,1.489,
