"",BBK01.OEAA08Q,BBK01.OEAA08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:12,
2002-01,1.785,
2002-04,1.760,
2002-07,1.743,
2002-10,1.676,
2003-01,1.857,
2003-04,1.815,
2003-07,1.768,
2003-10,1.745,
2004-01,1.710,
2004-04,1.569,
2004-07,1.540,
2004-10,1.539,
2005-01,1.361,
2005-04,1.291,
2005-07,1.248,
2005-10,1.249,
2006-01,1.233,
2006-04,1.238,
2006-07,1.221,
2006-10,1.270,
2007-01,1.294,
2007-04,1.254,
2007-07,1.199,
2007-10,1.220,
2008-01,1.201,
2008-04,1.167,
2008-07,1.181,
2008-10,1.187,
2009-01,1.161,
2009-04,1.152,
2009-07,1.157,
2009-10,1.175,
2010-01,1.155,
2010-04,1.134,
2010-07,1.126,
2010-10,1.121,
2011-01,1.120,
2011-04,1.106,
2011-07,1.112,
2011-10,1.121,
2012-01,1.099,
2012-04,1.086,
2012-07,1.094,
2012-10,1.104,
2013-01,1.161,
2013-04,1.146,
2013-07,0.710,
2013-10,0.822,
2014-01,0.838,
2014-04,0.810,
2014-07,0.807,
