"",BBK01.OEXJ01K,BBK01.OEXJ01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:23,
2002-01,6.781,
2002-04,6.979,
2002-07,7.668,
2002-10,8.714,
2003-01,8.116,
2003-04,7.309,
2003-07,8.060,
2003-10,8.847,
2004-01,7.987,
2004-04,7.926,
2004-07,8.247,
2004-10,3.775,
2005-01,4.053,
2005-04,4.011,
2005-07,4.664,
2005-10,4.314,
2006-01,4.847,
2006-04,5.405,
2006-07,4.318,
2006-10,4.303,
2007-01,4.997,
2007-04,5.152,
2007-07,5.517,
2007-10,5.645,
2008-01,5.838,
2008-04,5.858,
2008-07,6.203,
2008-10,5.861,
2009-01,6.471,
2009-04,6.739,
2009-07,6.656,
2009-10,6.368,
2010-01,6.807,
2010-04,6.909,
2010-07,6.809,
2010-10,7.509,
2011-01,7.592,
2011-04,8.468,
2011-07,8.762,
2011-10,8.250,
2012-01,8.268,
2012-04,8.690,
2012-07,8.827,
2012-10,9.439,
2013-01,9.898,
2013-04,9.329,
2013-07,9.218,
2013-10,9.622,
2014-01,9.601,
2014-04,9.348,
2014-07,9.847,
