"",BBK01.PQM350,BBK01.PQM350_FLAGS
"",Lending to domestic enterprises and resident individuals / Total / Mortgage banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:19:42,
1958-10,7.678,
1959-01,-,Nothing exists
1959-04,8.310,
1959-07,-,Nothing exists
1959-10,9.197,
1960-01,-,Nothing exists
1960-04,9.749,
1960-07,-,Nothing exists
1960-10,17.331,
1961-01,-,Nothing exists
1961-04,18.314,
1961-07,-,Nothing exists
1961-10,19.867,
1962-01,-,Nothing exists
1962-04,20.927,
1962-07,-,Nothing exists
1962-10,22.623,
1963-01,-,Nothing exists
1963-04,23.780,
1963-07,-,Nothing exists
1963-10,25.546,
1964-01,-,Nothing exists
1964-04,27.103,
1964-07,-,Nothing exists
1964-10,29.064,
1965-01,29.777,
1965-04,30.493,
1965-07,31.331,
1965-10,32.221,
1966-01,32.757,
1966-04,33.347,
1966-07,33.949,
1966-10,34.713,
1967-01,35.204,
1967-04,35.875,
1967-07,36.537,
1967-10,37.329,
1968-01,37.839,
1968-04,38.423,
1968-07,39.152,
1968-10,40.678,
1969-01,40.828,
1969-04,41.447,
1969-07,42.145,
1969-10,42.895,
1970-01,43.054,
1970-04,43.566,
1970-07,44.202,
1970-10,43.207,
1971-01,43.802,
1971-04,44.661,
1971-07,45.938,
1971-10,47.277,
1972-01,48.579,
1972-04,49.924,
1972-07,46.524,
1972-10,48.201,
1973-01,50.884,
1973-04,52.153,
1973-07,53.210,
1973-10,54.753,
1974-01,55.583,
1974-04,56.897,
1974-07,58.037,
1974-10,59.835,
1975-01,60.927,
1975-04,62.435,
1975-07,63.532,
1975-10,64.844,
1976-01,65.821,
1976-04,65.369,
1976-07,66.177,
1976-10,67.693,
1977-01,68.518,
1977-04,69.973,
1977-07,71.110,
1977-10,73.163,
1978-01,74.460,
1978-04,76.367,
1978-07,77.981,
1978-10,79.868,
1979-01,81.166,
1979-04,82.327,
1979-07,83.389,
1979-10,85.205,
1980-01,86.517,
1980-04,88.188,
1980-07,90.375,
1980-10,93.321,
1981-01,95.410,
1981-04,98.001,
1981-07,100.114,
1981-10,102.406,
1982-01,103.244,
1982-04,104.974,
1982-07,106.957,
1982-10,109.885,
1983-01,111.577,
1983-04,110.597,
1983-07,112.300,
1983-10,114.288,
1984-01,115.001,
1984-04,116.312,
1984-07,118.125,
1984-10,120.321,
1985-01,121.652,
1985-04,123.379,
1985-07,125.024,
1985-10,127.431,
1986-01,128.142,
1986-04,130.065,
1986-07,132.064,
1986-10,133.178,
1987-01,133.844,
1987-04,134.819,
1987-07,136.319,
1987-10,137.842,
1988-01,138.230,
1988-04,139.202,
1988-07,140.450,
1988-10,141.620,
1989-01,142.743,
1989-04,143.472,
1989-07,144.335,
1989-10,146.116,
1990-01,146.924,
1990-04,147.589,
1990-07,148.829,
1990-10,151.022,
1991-01,149.684,
1991-04,151.117,
1991-07,153.296,
1991-10,157.134,
1992-01,143.936,
1992-04,148.071,
1992-07,151.519,
1992-10,156.943,
1993-01,152.741,
1993-04,157.231,
1993-07,163.547,
1993-10,173.469,
1994-01,179.287,
1994-04,183.638,
1994-07,188.517,
1994-10,192.885,
1995-01,188.145,
1995-04,193.851,
1995-07,198.548,
1995-10,203.929,
1996-01,207.688,
1996-04,202.676,
1996-07,205.855,
1996-10,212.876,
1997-01,215.258,
1997-04,218.830,
1997-07,222.559,
1997-10,227.862,
1998-01,231.194,
1998-04,235.038,
1998-07,240.015,
1998-10,247.790,
1999-01,217.357,
1999-04,220.479,
1999-07,225.300,
1999-10,230.587,
2000-01,233.162,
2000-04,236.520,
2000-07,239.263,
2000-10,242.375,
2001-01,243.716,
2001-04,245.789,
2001-07,247.403,
2001-10,248.554,
2002-01,249.326,
2002-04,248.126,
2002-07,248.451,
2002-10,249.368,
2003-01,252.760,
2003-04,252.888,
2003-07,251.440,
2003-10,255.290,
2004-01,250.265,
2004-04,250.315,
2004-07,248.757,
2004-10,245.815,
2005-01,241.469,
2005-04,240.111,
2005-07,247.432,
2005-10,242.375,
2006-01,237.823,
2006-04,232.354,
2006-07,229.563,
2006-10,224.580,
2007-01,218.101,
2007-04,213.590,
2007-07,209.918,
2007-10,207.717,
2008-01,203.495,
2008-04,200.977,
2008-07,198.708,
2008-10,195.807,
2009-01,192.610,
2009-04,186.200,
2009-07,183.776,
2009-10,180.709,
2010-01,178.722,
2010-04,177.155,
2010-07,174.522,
2010-10,170.689,
2011-01,169.309,
2011-04,166.354,
2011-07,164.930,
2011-10,161.985,
2012-01,159.548,
2012-04,152.940,
2012-07,149.498,
2012-10,146.359,
2013-01,143.512,
2013-04,141.138,
2013-07,135.517,
2013-10,128.816,
2014-01,127.300,
2014-04,125.746,
2014-07,122.539,
2014-10,120.881,
