"",BBFB1.Q.N.DE.B2.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B2.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:40,
1991-01,-3996.335,
1991-04,-4410.593,
1991-07,-6131.972,
1991-10,-3384.376,
1992-01,-4606.803,
1992-04,-5281.034,
1992-07,-7067.945,
1992-10,-4001.348,
1993-01,-4291.941,
1993-04,-5585.058,
1993-07,-7203.385,
1993-10,-3916.974,
1994-01,-4398.819,
1994-04,-6095.779,
1994-07,-8203.094,
1994-10,-4809.440,
1995-01,-4990.691,
1995-04,-5953.911,
1995-07,-7845.258,
1995-10,-4271.412,
1996-01,-4764.962,
1996-04,-6204.935,
1996-07,-8352.460,
1996-10,-4725.144,
1997-01,-5002.147,
1997-04,-6203.518,
1997-07,-8482.938,
1997-10,-4746.277,
1998-01,-4547.952,
1998-04,-6014.421,
1998-07,-8536.629,
1998-10,-5013.623,
1999-01,-5933.595,
1999-04,-7450.023,
1999-07,-10150.047,
1999-10,-6853.453,
2000-01,-6291.182,
2000-04,-7754.651,
2000-07,-11254.903,
2000-10,-7370.476,
2001-01,-8122.117,
2001-04,-8710.085,
2001-07,-11291.477,
2001-10,-5928.986,
2002-01,-6718.578,
2002-04,-6835.611,
2002-07,-9163.758,
2002-10,-3913.359,
2003-01,-6007.164,
2003-04,-7429.035,
2003-07,-11555.146,
2003-10,-4536.067,
2004-01,-5052.650,
2004-04,-5849.647,
2004-07,-8014.898,
2004-10,-3011.238,
2005-01,-3933.049,
2005-04,-4550.636,
2005-07,-8086.887,
2005-10,-2175.770,
2006-01,-2955.127,
2006-04,-3299.498,
2006-07,-5896.361,
2006-10,-28.715,
2007-01,-3468.336,
2007-04,-3918.502,
2007-07,-7702.237,
2007-10,-1743.132,
2008-01,-2695.047,
2008-04,-4057.224,
2008-07,-7398.452,
2008-10,-1198.780,
2009-01,-1893.472,
2009-04,-3123.625,
2009-07,-6251.892,
2009-10,-228.304,
2010-01,-2395.582,
2010-04,-4494.156,
2010-07,-7331.338,
2010-10,-2375.549,
2011-01,-3803.010,
2011-04,-5685.650,
2011-07,-8515.586,
2011-10,-2090.026,
2012-01,-3493.779,
2012-04,-5424.891,
2012-07,-9131.257,
2012-10,-3222.171,
2013-01,-6217.376,
2013-04,-7867.812,
2013-07,-11223.201,
2013-10,-4533.616,
2014-01,-5522.461,Provisional value
2014-04,-7271.212,Provisional value
2014-07,-11767.962,Provisional value
