"",BBK01.OEAF18K,BBK01.OEAF18K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:04,
2002-01,0.026,
2002-04,0.019,
2002-07,0.022,
2002-10,0.051,
2003-01,0.049,
2003-04,0.038,
2003-07,0.025,
2003-10,0.025,
2004-01,0.034,
2004-04,0.025,
2004-07,0.018,
2004-10,0.026,
2005-01,0.025,
2005-04,0.023,
2005-07,0.024,
2005-10,0.021,
2006-01,0.024,
2006-04,0.040,
2006-07,0.041,
2006-10,0.026,
2007-01,0.028,
2007-04,0.024,
2007-07,0.032,
2007-10,0.030,
2008-01,0.028,
2008-04,0.028,
2008-07,0.021,
2008-10,0.031,
2009-01,0.018,
2009-04,0.020,
2009-07,0.016,
2009-10,0.022,
2010-01,0.015,
2010-04,0.021,
2010-07,0.066,
2010-10,0.039,
2011-01,0.039,
2011-04,0.038,
2011-07,0.029,
2011-10,0.035,
2012-01,0.036,
2012-04,0.039,
2012-07,0.044,
2012-10,0.047,
2013-01,0.039,
2013-04,0.030,
2013-07,0.026,
2013-10,0.028,
2014-01,0.034,
2014-04,0.021,
2014-07,0.021,
