"",BBFI1.Q.N.DE.W1.S12M.S1.KA.A.FA.O.F81.T._T._X.N,BBFI1.Q.N.DE.W1.S12M.S1.KA.A.FA.O.F81.T._T._X.N_FLAGS
"",IIP - Other Investment - Trade credits and advances - Assets - Other changes excluding transactions and revaluations - Financial corporations other than MFIs - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:04:20,
2013-01,-4,
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,5,
2014-01,-1,
2014-04,-,Nothing exists
2014-07,4,
