"",BBK01.CEFI0L,BBK01.CEFI0L_FLAGS
"",Listed shares               debtor: Total                              creditor: Pension funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:58,
1999-01,3.0,
1999-04,3.2,
1999-07,3.2,
1999-10,3.9,
2000-01,4.3,
2000-04,4.3,
2000-07,4.4,
2000-10,4.0,
2001-01,4.1,
2001-04,4.3,
2001-07,4.1,
2001-10,3.7,
2002-01,4.2,
2002-04,3.9,
2002-07,3.2,
2002-10,2.3,
2003-01,2.1,
2003-04,2.5,
2003-07,2.5,
2003-10,3.2,
2004-01,3.2,
2004-04,3.1,
2004-07,3.1,
2004-10,3.7,
2005-01,3.7,
2005-04,3.8,
2005-07,4.3,
2005-10,4.0,
2006-01,2.5,
2006-04,2.5,
2006-07,2.7,
2006-10,3.2,
2007-01,3.5,
2007-04,3.7,
2007-07,3.5,
2007-10,3.9,
2008-01,3.6,
2008-04,2.8,
2008-07,2.6,
2008-10,2.8,
2009-01,2.3,
2009-04,2.4,
2009-07,2.4,
2009-10,3.1,
2010-01,3.1,
2010-04,3.0,
2010-07,3.0,
2010-10,4.9,
2011-01,4.3,
2011-04,4.0,
2011-07,3.8,
2011-10,4.2,
2012-01,4.1,
2012-04,4.1,
2012-07,4.0,
2012-10,4.8,
2013-01,0.5,
2013-04,0.1,
2013-07,0.3,
2013-10,0.3,
2014-01,0.3,
2014-04,0.3,
2014-07,0.3,
