"",BBK01.OEAC03S,BBK01.OEAC03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:47,
2002-01,0.415,
2002-04,0.394,
2002-07,0.372,
2002-10,0.381,
2003-01,0.378,
2003-04,0.408,
2003-07,0.392,
2003-10,0.389,
2004-01,0.403,
2004-04,0.404,
2004-07,0.405,
2004-10,0.453,
2005-01,0.481,
2005-04,0.493,
2005-07,0.496,
2005-10,0.506,
2006-01,0.531,
2006-04,0.526,
2006-07,0.529,
2006-10,0.552,
2007-01,0.559,
2007-04,0.545,
2007-07,0.556,
2007-10,0.639,
2008-01,0.643,
2008-04,0.664,
2008-07,0.699,
2008-10,0.828,
2009-01,0.999,
2009-04,1.061,
2009-07,1.123,
2009-10,1.071,
2010-01,1.275,
2010-04,1.324,
2010-07,1.311,
2010-10,1.491,
2011-01,1.508,
2011-04,1.588,
2011-07,1.666,
2011-10,1.952,
2012-01,2.021,
2012-04,2.151,
2012-07,2.210,
2012-10,2.264,
2013-01,2.332,
2013-04,2.358,
2013-07,2.421,
2013-10,2.437,
2014-01,2.487,
2014-04,2.407,
2014-07,2.471,
