"",BBK01.OEBK04M,BBK01.OEBK04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:11,
2002-01,0.783,
2002-04,0.772,
2002-07,0.761,
2002-10,0.776,
2003-01,0.737,
2003-04,0.691,
2003-07,0.662,
2003-10,0.562,
2004-01,0.650,
2004-04,0.563,
2004-07,0.550,
2004-10,0.514,
2005-01,0.554,
2005-04,0.503,
2005-07,0.483,
2005-10,0.471,
2006-01,0.564,
2006-04,0.589,
2006-07,0.688,
2006-10,0.720,
2007-01,0.766,
2007-04,0.854,
2007-07,0.945,
2007-10,1.073,
2008-01,1.215,
2008-04,1.201,
2008-07,1.325,
2008-10,1.352,
2009-01,1.090,
2009-04,0.954,
2009-07,0.744,
2009-10,0.504,
2010-01,0.328,
2010-04,0.217,
2010-07,0.174,
2010-10,0.274,
2011-01,0.202,
2011-04,0.241,
2011-07,0.267,
2011-10,0.276,
2012-01,0.298,
2012-04,0.241,
2012-07,0.249,
2012-10,0.182,
2013-01,0.154,
2013-04,0.138,
2013-07,0.148,
2013-10,0.129,
2014-01,0.089,
2014-04,0.094,
2014-07,0.108,
